"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.1_F_l_Set_1",1.9384097663437,0,0,508.069233705544,59.8405316280902,1.20646401780735e-15,14
"M_0.1_F_q_Set_1",1.95734977126515,0,0,531.171052216433,82.9423501389796,1.17549129380497e-20,15
"M_0.1_F_p_Set_1",1.94503321585372,0,0,NA,NA,NA,38
"M_0.1_F_lq_Set_1",1.95291384979496,0,0,NA,NA,NA,24
"M_0.1_F_lp_Set_1",1.94042778578131,0,0,NA,NA,NA,36
"M_0.1_F_qp_Set_1",1.94603884711651,0,0,NA,NA,NA,42
"M_0.1_F_lqp_Set_1",1.9448173252641,0,0,NA,NA,NA,48
"M_0.2_F_l_Set_1",1.93779944762083,0,0,454.587858426078,6.35915634862425,0.000507098826644058,9
"M_0.2_F_q_Set_1",1.95477714110263,0,0,492.07295629581,43.8442542183566,3.72077270893202e-12,13
"M_0.2_F_p_Set_1",1.93754421484355,0,0,NA,NA,NA,30
"M_0.2_F_lq_Set_1",1.95168930176269,0,0,NA,NA,NA,20
"M_0.2_F_lp_Set_1",1.9399652037994,0,0,NA,NA,NA,23
"M_0.2_F_qp_Set_1",1.94846310725751,0,0,NA,NA,NA,27
"M_0.2_F_lqp_Set_1",1.94746666053981,0,0,NA,NA,NA,26
"M_0.3_F_l_Set_1",1.93697169598009,0,0,462.510425616336,14.2817235388825,9.89562117105303e-06,10
"M_0.3_F_q_Set_1",1.95423463236713,0,0,458.139908909908,9.91120683245407,8.91066238647825e-05,10
"M_0.3_F_p_Set_1",1.93600313708838,0,0,NA,NA,NA,21
"M_0.3_F_lq_Set_1",1.95313085486476,0,0,507.621593935623,59.3928918581689,1.62415552750801e-15,14
"M_0.3_F_lp_Set_1",1.9381530376078,0,0,1213.72748708863,765.498785011176,7.71403138511239e-169,19
"M_0.3_F_qp_Set_1",1.95042367886905,0,0,NA,NA,NA,20
"M_0.3_F_lqp_Set_1",1.95090746476302,0,0,NA,NA,NA,20
"M_0.4_F_l_Set_1",1.93938524263056,0,0,455.335896275697,7.10719419824335,0.000376212270214184,9
"M_0.4_F_q_Set_1",1.95392021488983,0,0,458.37483130409,10.1461292266364,8.34155001665284e-05,10
"M_0.4_F_p_Set_1",1.93187515688606,0,0,545.596649559439,97.3679474819854,9.70716755333084e-24,15
"M_0.4_F_lq_Set_1",1.95256232072735,0,0,489.675310247367,41.4466081699132,1.36823014947747e-11,13
"M_0.4_F_lp_Set_1",1.93496591913661,0,0,515.87504948443,67.6463474069765,2.8375365955538e-17,14
"M_0.4_F_qp_Set_1",1.94619688864741,0,0,583.888836208736,135.660134131283,4.8978144682764e-32,16
"M_0.4_F_lqp_Set_1",1.94696916271564,0,0,513.559957389359,65.3312553119052,9.28703909298758e-17,14
"M_0.5_F_l_Set_1",1.94350266287081,0,0,455.93842363554,7.70972155808607,0.000306438000132359,9
"M_0.5_F_q_Set_1",1.95561514740156,0,0,459.856072252921,11.6273701754677,4.38477603794465e-05,10
"M_0.5_F_p_Set_1",1.9308914222058,0,0,659.888489951132,211.659787873679,1.62885939422228e-48,17
"M_0.5_F_lq_Set_1",1.95348460428774,0,0,511.412470303117,63.1837682256635,2.88112327410311e-16,14
"M_0.5_F_lp_Set_1",1.93606390062717,0,0,517.787821721126,69.5591196436718,1.20723407372212e-17,14
"M_0.5_F_qp_Set_1",1.94677652446141,0,0,480.448319937538,32.2196178600847,1.57283567328369e-09,12
"M_0.5_F_lqp_Set_1",1.9501954875335,0,0,514.963874587666,66.7351725102122,5.11156217468384e-17,14
"M_0.6_F_l_Set_1",1.94391142832059,0,0,456.688262278488,8.45956020103461,0.000234302609640876,9
"M_0.6_F_q_Set_1",1.95724360942479,0,0,452.624335812358,4.39563373490392,0.00181345594647827,9
"M_0.6_F_p_Set_1",1.92729755414093,0,0,522.009033495245,73.7803314177912,1.58111063082666e-18,14
"M_0.6_F_lq_Set_1",1.95357339417369,0,0,477.84934447491,29.6206423974565,6.24291642480638e-09,12
"M_0.6_F_lp_Set_1",1.93464291748819,0,0,499.365038985243,51.1363369077895,1.35116456992403e-13,13
"M_0.6_F_qp_Set_1",1.94677262040477,0,0,460.66896676076,12.4402646833063,3.47504943541658e-05,10
"M_0.6_F_lqp_Set_1",1.94643452113773,0,0,496.1646935568,47.9359914793465,6.93133182124131e-13,13
"M_0.7_F_l_Set_1",1.9466697546063,0,0,457.619661117549,9.39095904009571,0.000165380574965104,9
"M_0.7_F_q_Set_1",1.95793012240767,0,0,453.084175574202,4.85547349674846,0.00162397763956297,9
"M_0.7_F_p_Set_1",1.92921893357312,0,0,467.444845710565,19.2161436331115,1.25970021663036e-06,10
"M_0.7_F_lq_Set_1",1.95491945500637,0,0,457.399359369472,9.17065729201818,0.000194873375567137,10
"M_0.7_F_lp_Set_1",1.9326646574869,0,0,500.898522504549,52.6698204270949,7.11879526182397e-14,13
"M_0.7_F_qp_Set_1",1.94408089777517,0,0,462.178112342837,13.949410265383,1.85767911450737e-05,10
"M_0.7_F_lqp_Set_1",1.94554368359785,0,0,471.143852906194,22.9151508287404,2.14189428273289e-07,11
"M_0.8_F_l_Set_1",1.94539498635106,0,0,458.726394630301,10.4976925528472,0.000108657396287524,9
"M_0.8_F_q_Set_1",1.95879652823216,0,0,453.677476752644,5.44877467519024,0.00138322633358783,9
"M_0.8_F_p_Set_1",1.92893935141264,0,0,468.883512347376,20.6548102699227,7.05020211899765e-07,10
"M_0.8_F_lq_Set_1",1.95680076815088,0,0,457.943630286763,9.71492820930905,0.000171061155819056,10
"M_0.8_F_lp_Set_1",1.9299065435449,0,0,502.50564966589,54.2769475884365,3.68383107249835e-14,13
"M_0.8_F_qp_Set_1",1.9398353663382,0,0,485.107072578144,36.8783705006904,2.26068841345088e-10,12
"M_0.8_F_lqp_Set_1",1.94172817419448,0,0,472.816885081386,24.5881830039323,1.07929295619166e-07,11
"M_0.9_F_l_Set_1",1.94232373494333,0,0,459.985930602012,11.7572285245587,6.75578962264209e-05,9
"M_0.9_F_q_Set_1",1.96106205395366,0,0,454.370949573226,6.14224749577187,0.00114569258689654,9
"M_0.9_F_p_Set_1",1.92239147058182,0,0,462.638655781317,14.4099537038633,1.88198319764136e-05,9
"M_0.9_F_lq_Set_1",1.95864041306256,0,0,458.612652153308,10.3839500758538,0.000144521536766844,10
"M_0.9_F_lp_Set_1",1.93065772756821,0,0,489.19514924776,40.9664471703064,3.39206021657185e-11,12
