Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_ai_et0 contribution,bio_et0_yr contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_ai_et0 permutation importance,bio_et0_yr permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_ai_et0,Training gain without bio_et0_yr,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_ai_et0,Training gain with only bio_et0_yr,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.8624,2.2672,240,0.9667,10019,0.3438,0.0000,0.0000,0.0000,11.9778,0.0000,5.3677,0.0000,43.1662,0.0000,0.1332,0.5279,1.0299,37.4535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2876,0.0000,27.9569,0.0000,6.6323,0.0000,0.5671,1.7732,10.2316,49.5513,0.0000,0.0000,0.0000,1.8624,1.8624,1.8624,1.8624,1.8279,1.8624,1.7670,1.8624,1.8324,1.8624,1.8587,1.8496,1.8603,1.8510,1.8624,1.8624,1.8624,0.3707,0.3360,0.3551,0.0913,0.0515,0.2725,0.2909,0.0173,0.4245,0.0556,0.0682,0.0009,0.3304,0.4033,0.0005,0.0390,0.0574,7.3491,0.0879,1.0000,0.0139,0.4544,0.0000,5.0000,0.0610,0.2616,0.0000,10.0000,0.1274,0.1786,0.0000,19.0539,0.2536,0.1084,0.0000,19.7695,0.2652,0.1047,0.0476,19.7893,0.2653,0.1047,0.1429,19.0539,0.2536,0.1084,0.0000,4.9403,0.0601,0.2631,0.0000,12.3176,0.1586,0.1551,0.0000
Gustavia_santanderiensis_1,21,1.6428,2.0174,240,0.9593,10019,0.0000,0.0000,0.0000,0.0000,6.0405,0.3899,9.8947,3.6766,39.5780,0.0000,0.0000,0.0841,3.3677,36.9685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0050,0.5413,40.5626,0.0000,1.4480,0.0000,0.0000,0.0577,20.5235,35.8619,0.0000,0.0000,0.0000,1.6428,1.6428,1.6428,1.6428,1.6372,1.6378,1.4688,1.6428,1.6388,1.6428,1.6428,1.6417,1.6224,1.6185,1.6428,1.6428,1.6428,0.3528,0.3350,0.3335,0.0423,0.0023,0.0760,0.2435,0.0038,0.3202,0.0756,0.0406,0.0006,0.3457,0.3785,0.0048,0.0082,0.0723,7.5700,0.1112,1.0000,0.0170,0.4844,0.0000,5.0000,0.0764,0.2945,0.0000,10.0000,0.1479,0.2107,0.0000,27.3302,0.4030,0.0968,0.0000,27.3302,0.4030,0.0968,0.0000,27.3302,0.4030,0.0968,0.1905,27.3302,0.4030,0.0968,0.0000,4.8770,0.0745,0.2976,0.0000,11.5628,0.1742,0.1935,0.0000
Gustavia_santanderiensis_2,21,1.7442,2.1303,240,0.9638,10020,0.2470,0.0000,2.6958,0.0024,1.3313,0.0000,12.3323,3.0961,41.9437,0.0000,0.6418,0.6375,0.9606,36.0925,0.0000,0.0190,0.0000,0.0000,0.0000,0.0000,0.0527,0.0000,0.0000,36.2961,0.0000,1.4083,0.0000,1.7850,2.4159,5.8716,52.1703,0.0000,0.0000,0.0000,1.7442,1.7442,1.7442,1.7441,1.7442,1.7442,1.5875,1.7442,1.7237,1.7442,1.7227,1.7268,1.7404,1.7210,1.7442,1.7442,1.7442,0.3562,0.3237,0.3416,0.1088,0.0263,0.2165,0.2716,0.0344,0.4524,0.0434,0.0744,0.0024,0.3131,0.3913,0.0000,0.0521,0.0643,7.4677,0.0994,1.0000,0.0158,0.4674,0.0000,5.0000,0.0694,0.2790,0.0000,10.0000,0.1361,0.1950,0.0000,17.8474,0.2478,0.1277,0.0000,32.6632,0.4782,0.0676,0.0952,24.3532,0.3454,0.0952,0.0952,17.8474,0.2478,0.1277,0.0000,4.8761,0.0675,0.2821,0.0000,11.8725,0.1589,0.1747,0.0000
Gustavia_santanderiensis_3,21,1.9031,2.3797,260,0.9716,10019,3.8053,0.0000,0.0000,0.0000,5.8981,1.7373,14.2595,0.0000,37.2828,0.0000,0.6403,0.6341,1.7855,33.9018,0.0000,0.0000,0.0553,0.0000,0.0000,0.0000,0.0000,0.0141,0.0000,38.1724,0.0000,0.3212,0.0000,1.4806,3.6559,4.1424,51.7308,0.0000,0.0000,0.4826,1.9031,1.9031,1.9031,1.9031,1.9031,1.9031,1.7420,1.9031,1.8933,1.9031,1.8797,1.8800,1.8985,1.8713,1.9031,1.9031,1.9019,0.3481,0.3160,0.3322,0.1182,0.0146,0.2951,0.3269,0.0233,0.4797,0.0406,0.0684,0.0029,0.3073,0.3879,0.0000,0.0623,0.0688,7.3089,0.0845,1.0000,0.0152,0.4268,0.0000,5.0000,0.0630,0.2540,0.0000,10.0000,0.1229,0.1747,0.0000,20.6916,0.2741,0.0969,0.0000,28.9489,0.4085,0.0673,0.0476,28.9489,0.4085,0.0673,0.0476,20.6916,0.2741,0.0969,0.0000,4.5355,0.0578,0.2652,0.0000,12.5658,0.1540,0.1490,0.0000
Gustavia_santanderiensis_4,21,1.7587,2.2391,320,0.9688,10019,13.4186,1.1104,0.0000,0.0000,2.4475,0.1136,16.2215,3.5471,32.6716,0.0000,0.9816,1.2922,2.7742,25.3805,0.0000,0.0000,0.0412,0.0000,0.0000,0.0000,0.0000,0.0000,0.3514,30.2821,0.3641,1.0769,0.0000,2.8718,4.9039,22.9612,36.7410,0.0000,0.0000,0.4474,1.7588,1.7588,1.7588,1.7587,1.7587,1.7566,1.6022,1.7565,1.7499,1.7588,1.7373,1.7107,1.7430,1.7499,1.7587,1.7588,1.7579,0.4207,0.3899,0.4015,0.0774,0.0173,0.1417,0.2177,0.0128,0.3377,0.1054,0.0327,0.0000,0.4026,0.4325,0.0147,0.0265,0.0927,7.4536,0.0979,1.0000,0.0152,0.4645,0.0000,5.0000,0.0693,0.2760,0.0000,10.0000,0.1324,0.1904,0.0000,21.6325,0.3095,0.1048,0.0000,34.7700,0.5145,0.0615,0.0952,23.8395,0.3459,0.0952,0.0952,21.6325,0.3095,0.1048,0.0000,4.8281,0.0666,0.2803,0.0000,11.6562,0.1567,0.1723,0.0000
Gustavia_santanderiensis_5,21,2.0502,2.5460,260,0.9762,10019,0.5584,0.0857,0.0000,0.0000,8.5921,16.8416,12.1422,0.0000,26.1910,0.0000,0.5261,0.6129,6.1830,28.2670,0.0000,0.0000,0.0000,7.1514,0.0000,0.0000,0.0000,0.7127,0.7344,42.3011,0.0000,1.8133,0.0000,2.2219,4.6600,6.2737,34.1314,0.0000,0.0000,0.0000,2.0503,2.0503,2.0503,2.0503,2.0441,2.0423,1.9072,2.0503,2.0431,2.0503,2.0298,2.0306,2.0488,2.0446,2.0503,2.0503,2.0503,0.3382,0.3065,0.3212,0.1297,0.0125,0.4969,0.3808,0.0237,0.5570,0.0594,0.0622,0.0010,0.3046,0.3631,0.0018,0.0703,0.0546,7.1620,0.0727,1.0000,0.0117,0.4208,0.0000,5.0000,0.0529,0.2368,0.0000,10.0000,0.1107,0.1575,0.0000,24.0935,0.3181,0.0725,0.0000,24.8782,0.3270,0.0698,0.0952,24.0935,0.3181,0.0725,0.0952,24.0935,0.3181,0.0725,0.0000,4.6921,0.0502,0.2444,0.0000,13.1494,0.1525,0.1287,0.0000
Gustavia_santanderiensis_6,21,1.7582,2.3157,240,0.9707,10020,0.1318,0.0000,2.6607,0.0000,0.8858,0.5020,12.4552,4.1272,39.0574,0.0000,1.5100,1.7143,1.4364,34.4906,0.0000,0.0000,1.0287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.2664,0.0000,3.1846,0.0000,4.8390,5.4513,0.6823,56.4223,0.0000,0.0000,9.1541,1.7582,1.7582,1.7582,1.7582,1.7582,1.7582,1.6613,1.7582,1.7250,1.7582,1.6939,1.6977,1.7578,1.7287,1.7582,1.7582,1.7294,0.3396,0.3022,0.3272,0.1526,0.0368,0.2718,0.2720,0.0431,0.4668,0.0301,0.0905,0.0148,0.2862,0.3765,0.0000,0.0894,0.0637,7.4533,0.0975,1.0000,0.0185,0.4602,0.0000,5.0000,0.0657,0.2857,0.0000,10.0000,0.1234,0.1959,0.0000,24.6965,0.3536,0.0899,0.0000,34.7291,0.5324,0.0598,0.0952,24.6965,0.3536,0.0899,0.0952,24.6965,0.3536,0.0899,0.0000,5.0834,0.0666,0.2836,0.0000,12.0169,0.1491,0.1722,0.0000
Gustavia_santanderiensis_7,21,2.0206,2.5863,300,0.9712,10020,7.1158,1.7919,4.6891,0.0000,5.8023,4.3627,2.6887,0.0000,46.6982,0.0000,0.2451,1.0479,0.0000,24.3889,0.0000,1.1695,0.0000,58.5905,0.0000,0.0000,0.0000,1.9969,0.7558,3.0199,0.0000,31.6874,0.0000,0.6430,3.1979,0.0000,0.1085,0.0000,0.0000,0.0000,2.0057,2.0206,2.0206,2.0206,1.9804,2.0147,2.0015,2.0206,1.9351,2.0206,2.0144,1.9914,2.0206,2.0204,2.0206,2.0206,2.0206,0.3689,0.3259,0.3588,0.2010,0.0418,0.5275,0.3024,0.0620,0.6353,0.0584,0.1184,0.0258,0.3093,0.3915,0.0000,0.1246,0.0576,7.1915,0.0746,1.0000,0.0100,0.4426,0.0000,5.0000,0.0523,0.2220,0.0000,10.0000,0.1275,0.1449,0.0000,19.4954,0.2792,0.0863,0.0000,22.6143,0.3316,0.0750,0.0952,19.4954,0.2792,0.0863,0.0952,19.4954,0.2792,0.0863,0.0000,4.9440,0.0516,0.2234,0.0000,11.3895,0.1493,0.1325,0.0000
Gustavia_santanderiensis_8,21,1.8752,2.3195,240,0.9680,10021,2.0567,0.0000,0.0000,0.0000,6.5116,0.0000,11.5317,0.0000,40.3537,0.0000,0.2621,0.6468,3.6258,35.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,0.0000,25.8187,0.0000,7.7927,0.0000,0.8100,2.4062,11.7376,51.4277,0.0000,0.0000,0.0000,1.8752,1.8752,1.8752,1.8752,1.8708,1.8752,1.7886,1.8752,1.8296,1.8752,1.8627,1.8564,1.8658,1.8511,1.8752,1.8752,1.8752,0.4128,0.3769,0.3954,0.1266,0.0238,0.2137,0.2569,0.0334,0.4781,0.0802,0.0845,0.0024,0.3707,0.4449,0.0028,0.0604,0.0795,7.3373,0.0869,1.0000,0.0130,0.4370,0.0000,5.0000,0.0644,0.2452,0.0000,10.0000,0.1332,0.1671,0.0000,15.2014,0.2153,0.1248,0.0000,32.6304,0.4915,0.0587,0.0952,31.7253,0.4780,0.0609,0.0476,31.7253,0.4780,0.0609,0.0476,4.6676,0.0594,0.2533,0.0000,11.4177,0.1553,0.1533,0.0000
Gustavia_santanderiensis_9,21,1.7816,2.1773,340,0.9670,10020,9.1212,0.2639,0.0000,0.0000,5.3889,0.0221,18.2873,0.0000,33.8788,0.0000,0.4894,1.1327,2.3393,29.0763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1057,0.0138,36.4358,0.0000,1.5585,0.0000,2.5831,4.4115,24.6710,30.2206,0.0000,0.0000,0.0000,1.7816,1.7816,1.7816,1.7816,1.7815,1.7816,1.6302,1.7816,1.7723,1.7816,1.7656,1.7551,1.7760,1.7758,1.7816,1.7816,1.7816,0.4041,0.3724,0.3872,0.0924,0.0155,0.2002,0.2463,0.0235,0.4140,0.0857,0.0479,0.0005,0.3732,0.4169,0.0069,0.0371,0.1013,7.4310,0.0957,1.0000,0.0146,0.4617,0.0000,5.0000,0.0679,0.2724,0.0000,10.0000,0.1329,0.1885,0.0000,20.0147,0.2765,0.1111,0.0000,32.9856,0.4849,0.0643,0.0952,23.4336,0.3338,0.0952,0.0952,20.0147,0.2765,0.1111,0.0000,4.7547,0.0650,0.2784,0.0000,11.8684,0.1558,0.1684,0.0000
