Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.74757E-12,0.000000001,0.000000003,0.998503143,0,0
2.29943E-12,0.000000003,0.000000004,0.99780461,0,0
5.09961E-12,0.00000001,0.00000001,0.995808802,0,0
8.39987E-12,0.000000026,0.000000016,0.993613412,0,0
2.18997E-11,0.000000102,0.000000041,0.988524099,0,0
3.91293E-11,0.000000251,0.000000073,0.983534577,0,0
1.04538E-10,0.000001006,0.000000196,0.972158467,0,0
2.00912E-10,0.000002515,0.000000376,0.962079633,0,0
5.81188E-10,0.00001001,0.000001088,0.941622593,0,0
1.2782E-9,0.000025028,0.000002392,0.924957589,0,0
2.37792E-9,0.000050167,0.00000445,0.910887137,0,0
4.71443E-9,0.000100017,0.000008822,0.896417523,0,0
1.07052E-8,0.000250002,0.000020033,0.875860693,0,0
2.13634E-8,0.000501274,0.000039978,0.859295479,0,0
4.05891E-8,0.001002159,0.000075953,0.842830057,0,0
9.53555E-8,0.0025013,0.000178427,0.819079932,0,0
1.78091E-7,0.005011769,0.000333215,0.80041912,0,0
3.29359E-7,0.010007732,0.000616155,0.780361241,0,0
8.36401E-7,0.025014902,0.00156397,0.752419918,0,0
1.45825E-6,0.050075626,0.00272516,0.730366231,0,0
2.33831E-6,0.100133895,0.004366218,0.703921764,0,0
3.51737E-6,0.200296432,0.006560604,0.669394272,0,0
4.36243E-6,0.300345641,0.008130376,0.6440475,0,0
5.14834E-6,0.400008047,0.009588058,0.623091508,0,0
5.84682E-6,0.500573438,0.010881786,0.604730067,0,0
6.44151E-6,0.600544322,0.011981929,0.588464225,0,0
6.9917E-6,0.700523993,0.012998654,0.57359545,0,0
7.2567E-6,0.750365171,0.013488001,0.566610119,0,0
7.52813E-6,0.800629087,0.01398896,0.559824369,0,0
8.12867E-6,0.90068117,0.01509643,0.547051192,0,0
8.73101E-6,1.000209238,0.01620598,0.535275921,0,0
9.28752E-6,1.100387963,0.017229987,0.524199182,0,0
9.89118E-6,1.200199276,0.018339554,0.513820976,0,0
1.04348E-5,1.300017263,0.019337627,0.504041513,0,0
1.09619E-5,1.400417095,0.020304483,0.494661211,0,0
1.15992E-5,1.500688537,0.021472222,0.485779862,0,0
1.29878E-5,1.750585253,0.024011698,0.465522403,0,0
1.45159E-5,2.000337177,0.026798675,0.447360543,0,0
1.59475E-5,2.250272164,0.029402385,0.430994911,0,0
1.7395E-5,2.501466075,0.03202801,0.415926554,0,0
1.9081E-5,2.751131719,0.035077106,0.402255264,0,0
2.04599E-5,3.000822494,0.037563871,0.389681668,0,0
2.19669E-5,3.251472582,0.040274163,0.377906397,0,0
2.35203E-5,3.501178829,0.043060017,0.366929448,0,0
2.53271E-5,3.750951324,0.046290032,0.356750823,0,0
2.702E-5,4.002239254,0.049306596,0.347170941,0,0
2.90094E-5,4.251181159,0.052839443,0.338289592,0,0
3.07006E-5,4.501702577,0.055832237,0.329907195,0,0
3.25603E-5,4.750991274,0.059112304,0.32202375,0,0
3.44438E-5,5.002397485,0.062422918,0.314539467,0,0
3.67923E-5,5.252221188,0.06653438,0.307554136,0,0
3.8848E-5,5.501787132,0.070118337,0.300967967,0,0
4.04567E-5,5.752598232,0.072913542,0.29468117,0,0
4.22749E-5,6.000182544,0.076062532,0.288693743,0,0
4.44017E-5,6.252285709,0.079732483,0.282905898,0,0
4.60688E-5,6.501373171,0.082598927,0.277417423,0,0
4.7938E-5,6.750608417,0.085802418,0.27212853,0,0
5.00605E-5,7.000611599,0.089426339,0.267039218,0,0
5.16951E-5,7.250417354,0.092207438,0.262149486,0,0
5.37041E-5,7.503889804,0.095613899,0.257359545,0,0
5.56539E-5,7.75530011,0.098907677,0.252769185,0,0
5.77735E-5,8.005171039,0.102474905,0.248378405,0,0
5.94724E-5,8.251822081,0.105323697,0.244187207,0,0
6.13197E-5,8.500085838,0.108411318,0.240095799,0,0
6.33522E-5,8.750045102,0.111795999,0.236104181,0,0
6.56514E-5,9.001315206,0.11560941,0.232212354,0,0
6.80667E-5,9.25520384,0.119597617,0.228420317,0,0
7.03155E-5,9.503773474,0.123294811,0.224827861,0,0
7.27094E-5,9.753615232,0.127213606,0.221335196,0,0
7.44254E-5,10.003541957,0.130011775,0.217942321,0,0
7.64418E-5,10.252220515,0.133288436,0.214649237,0,0
7.81069E-5,10.507430911,0.135984892,0.211356152,0,0
7.97346E-5,10.751620324,0.138612537,0.208262648,0,0
8.19822E-5,11.002363544,0.142227981,0.205169145,0,0
8.40876E-5,11.25129874,0.145600923,0.202175432,0,0
8.60599E-5,11.506430392,0.148748532,0.199181718,0,0
8.79303E-5,11.750202797,0.15172286,0.196387586,0,0
8.98481E-5,12.00806246,0.154761787,0.193493663,0,0
9.2428E-5,12.254523767,0.158832652,0.190799321,0,0
9.44565E-5,12.506982734,0.162019723,0.18810498,0,0
9.6851E-5,12.755373584,0.165766241,0.185510428,0,0
9.90576E-5,13.009724865,0.169203908,0.182915877,0,0
1.00841E-4,13.259915384,0.171971802,0.180421116,0,0
1.03222E-4,13.505309752,0.175652825,0.178026145,0,0
1.05837E-4,13.756377664,0.179676659,0.175631175,0,0
1.07458E-4,14.00186131,0.182162686,0.173335994,0,0
1.09714E-4,14.251731997,0.185608049,0.171040814,0,0
1.11526E-4,14.506317204,0.188364274,0.168745634,0,0
1.13707E-4,14.754203438,0.191670338,0.166550244,0,0
1.15931E-4,15.007200759,0.195026981,0.164354855,0,0
1.1753E-4,15.252231437,0.197432218,0.162259256,0,0
1.19133E-4,15.500648527,0.199835862,0.160163656,0,0
1.21159E-4,15.75218529,0.202864137,0.158068057,0,0
1.24345E-4,16.009781717,0.20760313,0.155972458,0,0
1.26516E-4,16.260381375,0.210815631,0.153976649,0,0
1.28709E-4,16.502930739,0.214046802,0.152080631,0,0
1.30558E-4,16.7621076,0.216761627,0.150084822,0,0
1.3349E-4,17.012843653,0.221048281,0.148188804,0,0
1.37339E-4,17.256788458,0.226638465,0.146392576,0,0
1.39259E-4,17.505870325,0.229411984,0.144596348,0,0
1.41051E-4,17.758202506,0.231991466,0.14280012,0,0
1.45492E-4,18.002012165,0.238347885,0.141103682,0,0
1.48942E-4,18.252498031,0.243249141,0.139407245,0,0
1.51835E-4,18.508515761,0.247335619,0.137710807,0,0
1.53895E-4,18.753315936,0.250230964,0.13611416,0,0
1.56458E-4,19.001155678,0.253819289,0.134517513,0,0
1.58401E-4,19.25328951,0.256527319,0.132920866,0,0
1.6118E-4,19.508767026,0.26038386,0.131324219,0,0
1.6426E-4,19.75252092,0.264634353,0.129827363,0,0
1.65974E-4,20.000649086,0.266988446,0.128330506,0,0
1.67527E-4,20.251008571,0.26911655,0.126833649,0,0
1.70611E-4,20.504723197,0.273322247,0.125336793,0,0
1.72979E-4,20.762323524,0.276534767,0.123839936,0,0
1.75911E-4,21.006754378,0.280494292,0.12244287,0,0
1.801E-4,21.256242039,0.286112321,0.121045804,0,0
1.82082E-4,21.509892809,0.288754751,0.119648738,0,0
1.84538E-4,21.766412213,0.292015761,0.118251671,0,0
1.87275E-4,22.007681168,0.295633875,0.116954396,0,0
1.89622E-4,22.252654925,0.298720599,0.11565712,0,0
1.93507E-4,22.502021249,0.303799728,0.114359844,0,0
1.9709E-4,22.756477234,0.308451948,0.113062569,0,0
1.99249E-4,23.013865156,0.311240614,0.111765293,0,0
2.01044E-4,23.254180974,0.313550551,0.110567808,0,0
2.05233E-4,23.518235264,0.318910134,0.109270532,0,0
2.09494E-4,23.766805714,0.324320396,0.108073047,0,0
2.12287E-4,24.020543779,0.327841759,0.106875561,0,0
2.15135E-4,24.256045426,0.331415492,0.105777866,0,0
2.18983E-4,24.516608238,0.33621169,0.104580381,0,0
2.19716E-4,24.757860505,0.337121724,0.103482686,0,0
2.23118E-4,25.001892964,0.341328215,0.102384992,0,0
2.26101E-4,25.271910489,0.344994955,0.101187506,0,0
2.29842E-4,25.500238615,0.349564744,0.100189602,0,0
2.31917E-4,25.754167956,0.352085763,0.099091907,0,0
2.36483E-4,26.012390092,0.357598604,0.097994212,0,0
2.39007E-4,26.250275879,0.36062557,0.096996308,0,0
2.40965E-4,26.514178363,0.362963683,0.095898613,0,0
2.46532E-4,26.757737704,0.369566257,0.094900709,0,0
2.4753E-4,27.004842887,0.370742463,0.093902804,0,0
2.51469E-4,27.254820737,0.37536286,0.0929049,0,0
2.54287E-4,27.507815154,0.378649273,0.091906995,0,0
2.57916E-4,27.763850176,0.382854262,0.090909091,0,0
2.61625E-4,28.024298555,0.387122789,0.089911187,0,0
2.64531E-4,28.260946979,0.390446179,0.089013073,0,0
2.66931E-4,28.526673214,0.393177563,0.088015168,0,0
2.71972E-4,28.77002217,0.398875314,0.087117054,0,0
2.74882E-4,29.015839065,0.402140691,0.08621894,0,0
2.79475E-4,29.26532332,0.407257258,0.085320826,0,0
2.82409E-4,29.518687497,0.410501983,0.084422712,0,0
2.87921E-4,29.775694062,0.416551942,0.083524598,0,0
2.91059E-4,30.007085751,0.419968306,0.082726275,0,0
2.96757E-4,30.27094228,0.426119935,0.081828161,0,0
2.99437E-4,30.509787332,0.428990598,0.081029837,0,0
3.0331E-4,30.751385372,0.433114661,0.080231514,0,0
3.07092E-4,31.025908193,0.437112625,0.0793334,0,0
3.12762E-4,31.274229447,0.4430533,0.078535076,0,0
3.1474E-4,31.525170445,0.445110847,0.077736753,0,0
3.18677E-4,31.778586899,0.44918405,0.076938429,0,0
3.21822E-4,32.002818746,0.452416293,0.076239896,0,0
3.24329E-4,32.261122438,0.454978888,0.075441573,0,0
3.27069E-4,32.521986953,0.457766842,0.074643249,0,0
3.30494E-4,32.752672112,0.461230971,0.073944716,0,0
3.33714E-4,33.018565063,0.464467416,0.073146393,0,0
3.35359E-4,33.25278527,0.466113226,0.072447859,0,0
3.40834E-4,33.523029901,0.47155597,0.071649536,0,0
3.4407E-4,33.763117782,0.474746137,0.070951003,0,0
3.46556E-4,34.004824974,0.477183738,0.07025247,0,0
3.49197E-4,34.283182007,0.479761781,0.069454146,0,0
3.51468E-4,34.52840064,0.481968178,0.068755613,0,0
3.53703E-4,34.775294219,0.484130107,0.06805708,0,0
3.58514E-4,35.025310018,0.488753461,0.067358547,0,0
3.6164E-4,35.277573347,0.491735631,0.066660014,0,0
3.64751E-4,35.532137624,0.494685426,0.065961481,0,0
3.67649E-4,35.751856425,0.497419006,0.065362738,0,0
3.70203E-4,36.010308607,0.499815239,0.064664205,0,0
3.72404E-4,36.270552309,0.501870671,0.063965672,0,0
3.76531E-4,36.533055176,0.505703316,0.063267139,0,0
3.78588E-4,36.759882284,0.507601941,0.062668396,0.142857143,0
3.82472E-4,37.026643942,0.511168011,0.061969863,0.19047619,0
3.8665E-4,37.257455337,0.514975563,0.061371121,0.19047619,0
3.92073E-4,37.530269913,0.519872813,0.060672588,0.19047619,0
3.96427E-4,37.767086337,0.523768967,0.060073845,0.19047619,0
4.01287E-4,38.006331811,0.528079859,0.059475102,0.19047619,0
4.05589E-4,38.289614234,0.53186459,0.058776569,0.19047619,0
4.08784E-4,38.534324188,0.534654382,0.058177827,0.19047619,0
4.12347E-4,38.781032655,0.537747597,0.057579084,0.19047619,0
4.16169E-4,39.029756386,0.541041741,0.056980341,0.19047619,0
4.19745E-4,39.280996083,0.544103037,0.056381599,0.19047619,0
4.25399E-4,39.534833328,0.548900864,0.055782856,0.19047619,0
4.29994E-4,39.791417515,0.552762928,0.055184113,0.19047619,0
4.32418E-4,40.007151275,0.554787664,0.054685161,0.19047619,0
4.35324E-4,40.267644254,0.557201468,0.054086419,0.19047619,0
4.39131E-4,40.529967445,0.56034506,0.053487676,0.19047619,0
4.43482E-4,40.750892455,0.563910746,0.052988724,0.19047619,0
4.49255E-4,41.019435089,0.568596153,0.052389981,0.19047619,0
4.52319E-4,41.290031677,0.571062674,0.051791238,0.19047619,0
4.54944E-4,41.51681436,0.573164884,0.051292286,0.19047619,0
4.60761E-4,41.792045876,0.577785959,0.050693544,0.19047619,0
4.62995E-4,42.023049716,0.579547468,0.050194591,0.19047619,0
4.71576E-4,42.257154879,0.586244674,0.049695639,0.19047619,0
4.78545E-4,42.541890378,0.591606119,0.049096897,0.19047619,0
4.8551E-4,42.782527996,0.596894044,0.048597944,0.19047619,0
4.89396E-4,43.026784094,0.599815387,0.048098992,0.19047619,0
4.98662E-4,43.273290445,0.606694164,0.04760004,0.19047619,0
5.07341E-4,43.524686024,0.613030657,0.047101088,0.19047619,0
5.11664E-4,43.779665239,0.616148488,0.046602136,0.19047619,0
5.14119E-4,44.036356073,0.617908048,0.046103183,0.19047619,0
5.15933E-4,44.293867711,0.619203122,0.045604231,0.19047619,0
5.19094E-4,44.500964587,0.621448861,0.045205069,0.19047619,0
5.2871E-4,44.762906802,0.628199873,0.044706117,0.238095238,0
5.32178E-4,45.028277797,0.630605095,0.044207165,0.238095238,0
5.4208E-4,45.297769542,0.637386925,0.043708213,0.238095238,0
5.43609E-4,45.514993754,0.638422688,0.043309051,0.238095238,0
5.50703E-4,45.788961743,0.643191421,0.042810099,0.238095238,0
5.56181E-4,46.010641791,0.646830378,0.042410937,0.238095238,0
5.59292E-4,46.289552839,0.648880053,0.041911985,0.238095238,0
5.61605E-4,46.51394304,0.650396605,0.041512823,0.238095238,0
5.71216E-4,46.79755131,0.656628472,0.041013871,0.238095238,0
5.73948E-4,47.026719096,0.658379226,0.040614709,0.238095238,0
