Predictor variable,Categorical,Sample average
bio_1,false,27.188889003935316
bio_10,false,27.566666648501442
bio_11,false,26.66190465291341
bio_12,false,2410.3809523809523
bio_13,false,331.04761904761904
bio_14,false,79.42857142857143
bio_15,false,38.652330126081196
bio_16,false,820.6666666666666
bio_17,false,329.57142857142856
bio_2,false,10.107142630077544
bio_3,false,86.8904538835798
bio_4,false,37.240744182041716
bio_5,false,33.319047564551944
bio_6,false,21.68571444920131
bio_7,false,11.633333115350633
bio_ai_et0,false,15050.42857142857
bio_et0_yr,false,1601.1904761904761
