Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_ai_et0 contribution,bio_et0_yr contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_ai_et0 permutation importance,bio_et0_yr permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_ai_et0,Training gain without bio_et0_yr,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_ai_et0,Training gain with only bio_et0_yr,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.2533,1.7805,200,0.9559,10021,21.8059,0.0000,0.0000,0.0000,0.0000,0.0000,12.3948,0.0000,42.9001,0.0000,0.1075,0.0000,1.7533,21.0384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.1178,0.0000,4.9614,0.0000,0.0000,0.0000,22.0553,39.8655,0.0000,0.0000,0.0000,1.2533,1.2533,1.2533,1.2533,1.2533,1.2533,1.1005,1.2533,1.2170,1.2533,1.2532,1.2533,1.2495,1.2469,1.2533,1.2533,1.2533,0.2819,0.2553,0.2684,0.0994,0.0088,0.1892,0.1297,0.0185,0.3555,0.0319,0.0229,0.0000,0.2546,0.3047,0.0003,0.0480,0.0403,7.9595,0.1648,1.0000,0.0271,0.6257,0.0000,5.0000,0.0850,0.4024,0.0000,10.0000,0.1678,0.2927,0.0000,32.7709,0.4939,0.1153,0.0000,42.6646,0.6209,0.0804,0.0952,38.0269,0.5613,0.0952,0.0952,32.7709,0.4939,0.1153,0.0000,6.3528,0.1079,0.3640,0.0000,10.4655,0.1739,0.2856,0.0000
Gustavia_santanderiensis_1,21,1.7767,2.3710,160,0.9751,10021,13.4922,0.0000,0.0000,0.0000,5.2585,0.0000,23.1938,0.0000,31.0897,0.0000,0.0000,0.0000,0.5284,26.4374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.5676,0.0000,0.0000,0.0000,0.0000,0.0000,12.2078,44.2246,0.0000,0.0000,0.0000,1.7767,1.7767,1.7767,1.7767,1.7767,1.7767,1.4073,1.7767,1.7767,1.7767,1.7767,1.7767,1.7663,1.7518,1.7767,1.7767,1.7767,0.3039,0.2776,0.2871,0.0745,0.0001,0.1579,0.2456,0.0048,0.3745,0.0306,0.0343,0.0000,0.2716,0.3386,0.0000,0.0297,0.0460,7.4357,0.0960,1.0000,0.0144,0.4769,0.0000,5.0000,0.0660,0.2798,0.0000,10.0000,0.1330,0.1950,0.0000,17.4392,0.2344,0.1314,0.0000,42.5929,0.5865,0.0436,0.0952,31.4512,0.4318,0.0702,0.0476,31.4512,0.4318,0.0702,0.0476,4.9796,0.0654,0.2804,0.0000,12.4778,0.1685,0.1691,0.0000
Gustavia_santanderiensis_2,21,1.0924,1.5609,180,0.9405,10021,26.3166,0.0000,0.0000,0.0000,0.0000,0.0000,6.6430,2.3723,45.6986,0.0000,0.0000,0.0000,4.6415,14.3281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.0142,0.0000,9.6045,0.0000,0.0000,0.0000,46.8212,16.5602,0.0000,0.0000,0.0000,1.0924,1.0924,1.0924,1.0924,1.0924,1.0924,0.9908,1.0924,1.0444,1.0924,1.0924,1.0924,1.0720,1.0895,1.0924,1.0924,1.0924,0.2649,0.2446,0.2511,0.0599,0.0068,0.0914,0.0995,0.0036,0.3116,0.0500,0.0207,0.0000,0.2539,0.2769,0.0011,0.0173,0.0469,8.1201,0.1947,1.0000,0.0365,0.6736,0.0000,5.0000,0.0923,0.4569,0.0000,10.0000,0.1730,0.3338,0.0000,36.1955,0.5534,0.1216,0.0000,36.1955,0.5534,0.1216,0.0000,36.2195,0.5537,0.1216,0.1429,36.1955,0.5534,0.1216,0.0000,7.2281,0.1255,0.3916,0.0000,9.9129,0.1720,0.3354,0.0000
Gustavia_santanderiensis_3,21,1.6498,2.2769,180,0.9712,10021,16.0646,0.0000,0.0000,0.0000,4.0167,0.0000,20.4347,0.0000,33.2258,0.0000,0.2542,0.0000,1.9109,24.0932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.2801,0.0000,0.1640,0.0000,0.4104,0.0000,14.7023,42.4431,0.0000,0.0000,0.0000,1.6498,1.6498,1.6498,1.6498,1.6498,1.6498,1.3616,1.6498,1.6478,1.6498,1.6477,1.6498,1.6380,1.6222,1.6498,1.6498,1.6498,0.3160,0.2943,0.2963,0.0527,0.0001,0.1086,0.2016,0.0008,0.3617,0.0369,0.0188,0.0000,0.2961,0.3468,0.0006,0.0127,0.0565,7.5625,0.1093,1.0000,0.0160,0.5206,0.0000,5.0000,0.0691,0.3102,0.0000,10.0000,0.1388,0.2185,0.0000,20.0520,0.2792,0.1313,0.0000,35.9365,0.4973,0.0671,0.0952,30.2543,0.4190,0.0849,0.0952,20.0520,0.2792,0.1313,0.0000,5.3454,0.0739,0.3014,0.0000,12.3061,0.1688,0.1920,0.0000
Gustavia_santanderiensis_4,21,1.4277,1.9393,160,0.9599,10021,20.1413,0.0000,0.0000,0.0000,0.0000,0.0000,11.8066,0.0000,42.0209,0.0000,0.0000,0.0000,0.2312,25.5108,0.0000,0.2891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.3797,0.0000,2.8661,0.0000,0.0000,0.0000,18.2876,44.4666,0.0000,0.0000,0.0000,1.4277,1.4277,1.4277,1.4277,1.4277,1.4277,1.2376,1.4277,1.4047,1.4277,1.4277,1.4277,1.4177,1.4124,1.4277,1.4277,1.4277,0.3291,0.2975,0.3135,0.0865,0.0151,0.1705,0.1382,0.0139,0.3565,0.0506,0.0447,0.0000,0.2950,0.3597,0.0004,0.0349,0.0468,7.7843,0.1374,1.0000,0.0215,0.5727,0.0000,5.0000,0.0781,0.3528,0.0000,10.0000,0.1573,0.2535,0.0000,25.1663,0.3737,0.1282,0.0000,42.5183,0.6191,0.0660,0.0952,32.7997,0.4844,0.0952,0.0952,25.1663,0.3737,0.1282,0.0000,5.7937,0.0914,0.3311,0.0000,11.0315,0.1732,0.2397,0.0000
Gustavia_santanderiensis_5,21,1.3623,2.0614,180,0.9566,10021,11.5555,0.0000,0.0000,0.0000,3.5029,0.0000,21.3497,0.0000,37.4358,0.0000,0.0936,0.0000,4.8603,21.1820,0.0000,0.0000,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.8589,0.0000,0.8543,0.0000,0.0527,0.0000,28.1242,23.8336,0.0000,0.0000,0.2762,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.1353,1.3623,1.3548,1.3623,1.3622,1.3623,1.3414,1.3470,1.3623,1.3623,1.3617,0.2120,0.1968,0.1959,0.0431,0.0000,0.1743,0.2228,0.0006,0.3893,0.0193,0.0082,0.0000,0.2045,0.2351,0.0000,0.0104,0.0385,7.8498,0.1476,1.0000,0.0214,0.6105,0.0000,5.0000,0.0823,0.3825,0.0000,10.0000,0.1551,0.2779,0.0000,28.8349,0.4170,0.1227,0.0000,32.2764,0.4617,0.1076,0.0952,32.2764,0.4617,0.1076,0.0952,28.8349,0.4170,0.1227,0.0000,6.0614,0.0973,0.3536,0.0000,11.5545,0.1768,0.2560,0.0000
Gustavia_santanderiensis_6,21,1.2088,1.7680,140,0.9519,10021,6.2353,0.0000,0.0000,0.0000,0.0000,0.0000,12.8886,1.3600,41.6992,0.0000,0.0456,0.0000,1.4606,36.3107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.7393,0.0000,3.0566,0.0000,0.0492,0.0000,12.4709,46.6840,0.0000,0.0000,0.0000,1.2088,1.2088,1.2088,1.2088,1.2088,1.2088,1.0526,1.2088,1.1907,1.2088,1.2087,1.2088,1.2035,1.1910,1.2088,1.2088,1.2088,0.2641,0.2372,0.2493,0.0941,0.0189,0.1748,0.1343,0.0181,0.3314,0.0228,0.0321,0.0000,0.2342,0.2943,0.0000,0.0453,0.0366,8.0031,0.1726,1.0000,0.0294,0.6354,0.0000,5.0000,0.0889,0.4194,0.0000,10.0000,0.1696,0.3082,0.0000,34.1226,0.5027,0.1164,0.0000,34.1226,0.5027,0.1164,0.0000,34.1460,0.5031,0.1164,0.1429,34.1226,0.5027,0.1164,0.0000,6.4524,0.1125,0.3786,0.0000,10.6289,0.1782,0.2984,0.0000
Gustavia_santanderiensis_7,21,1.7548,2.2565,160,0.9719,10021,28.7959,0.0000,0.0000,0.0000,0.0000,0.0000,9.9583,0.0000,32.9302,0.0000,0.0289,0.0000,0.0000,24.3179,0.0000,0.0000,3.9688,19.7309,0.0000,0.0000,0.0000,0.0000,0.0000,13.1724,0.0000,0.2295,0.0000,0.0679,0.0000,0.0000,46.6360,0.0000,0.0000,20.1633,1.7422,1.7548,1.7548,1.7548,1.7548,1.7548,1.6491,1.7548,1.7522,1.7548,1.7529,1.7548,1.7548,1.7257,1.7548,1.7548,1.6411,0.4852,0.4322,0.4720,0.1080,0.0252,0.1044,0.0940,0.0342,0.2870,0.0636,0.0642,0.0010,0.3992,0.5315,0.0002,0.0480,0.0612,7.4576,0.0986,1.0000,0.0186,0.4143,0.0000,5.0000,0.0780,0.2568,0.0000,10.0000,0.1424,0.1801,0.0000,36.8961,0.5899,0.0567,0.0000,43.9456,0.6736,0.0443,0.0952,38.5152,0.6030,0.0536,0.0476,36.8961,0.5899,0.0567,0.0000,4.1556,0.0668,0.2762,0.0000,10.6810,0.1544,0.1728,0.0000
Gustavia_santanderiensis_8,21,1.5226,2.0945,160,0.9642,10021,16.8057,1.0358,0.0000,0.0000,0.0000,0.0000,7.4113,1.0588,43.8000,0.0000,0.0000,0.0000,0.2768,29.6116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.9398,0.0000,4.3592,0.0000,0.0000,0.0000,15.7593,48.9417,0.0000,0.0000,0.0000,1.5226,1.5226,1.5226,1.5226,1.5226,1.5226,1.3762,1.5226,1.4875,1.5226,1.5226,1.5226,1.5134,1.5026,1.5226,1.5226,1.5226,0.3661,0.3321,0.3505,0.0872,0.0180,0.2256,0.1310,0.0113,0.3781,0.0486,0.0357,0.0000,0.3221,0.4041,0.0000,0.0330,0.0534,7.6898,0.1247,1.0000,0.0190,0.5439,0.0000,5.0000,0.0748,0.3257,0.0000,10.0000,0.1524,0.2320,0.0000,21.0945,0.3107,0.1361,0.0000,42.7293,0.6284,0.0589,0.0952,36.6301,0.5462,0.0738,0.0952,36.5939,0.5461,0.0739,0.0476,5.5079,0.0834,0.3123,0.0000,11.1271,0.1688,0.2180,0.0000
Gustavia_santanderiensis_9,21,1.6775,2.4476,220,0.9770,10021,23.5682,0.0000,0.0000,0.0000,0.0000,0.0000,12.8726,6.9536,36.5175,0.0000,0.4080,0.0212,3.4881,16.1708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.1400,0.3146,2.8914,0.0000,1.5662,0.2034,12.9481,45.9363,0.0000,0.0000,0.0000,1.6775,1.6775,1.6775,1.6775,1.6775,1.6775,1.5008,1.6764,1.6531,1.6775,1.6619,1.6760,1.6736,1.6628,1.6775,1.6775,1.6775,0.3564,0.3306,0.3359,0.0554,0.0031,0.2013,0.1712,0.0002,0.3750,0.0703,0.0053,0.0000,0.3439,0.3784,0.0136,0.0143,0.0546,7.5344,0.1062,1.0000,0.0162,0.5353,0.0000,5.0000,0.0624,0.3145,0.0000,10.0000,0.1300,0.2179,0.0000,36.6842,0.5070,0.0628,0.0000,36.6842,0.5070,0.0628,0.0000,36.6842,0.5070,0.0628,0.0000,36.6842,0.5070,0.0628,0.0000,5.6321,0.0720,0.2977,0.0000,12.6399,0.1638,0.1867,0.0000
