variable,x,y
bio_et0_yr,781.5,0.0
bio_et0_yr,784.008,0.0
bio_et0_yr,786.516,0.0
bio_et0_yr,789.024,0.0
bio_et0_yr,791.532,0.0
bio_et0_yr,794.04,0.0
bio_et0_yr,796.548,0.0
bio_et0_yr,799.056,0.0
bio_et0_yr,801.564,0.0
bio_et0_yr,804.072,0.0
bio_et0_yr,806.58,0.0
bio_et0_yr,809.088,0.0
bio_et0_yr,811.596,0.0
bio_et0_yr,814.104,0.0
bio_et0_yr,816.612,0.0
bio_et0_yr,819.12,0.0
bio_et0_yr,821.628,0.0
bio_et0_yr,824.136,0.0
bio_et0_yr,826.644,0.0
bio_et0_yr,829.152,0.0
bio_et0_yr,831.66,0.0
bio_et0_yr,834.168,0.0
bio_et0_yr,836.676,0.0
bio_et0_yr,839.184,0.0
bio_et0_yr,841.692,0.0
bio_et0_yr,844.2,0.0
bio_et0_yr,846.708,0.0
bio_et0_yr,849.216,0.0
bio_et0_yr,851.724,0.0
bio_et0_yr,854.232,0.0
bio_et0_yr,856.74,0.0
bio_et0_yr,859.248,0.0
bio_et0_yr,861.756,0.0
bio_et0_yr,864.264,0.0
bio_et0_yr,866.772,0.0
bio_et0_yr,869.28,0.0
bio_et0_yr,871.788,0.0
bio_et0_yr,874.296,0.0
bio_et0_yr,876.804,0.0
bio_et0_yr,879.312,0.0
bio_et0_yr,881.8199999999999,0.0
bio_et0_yr,884.328,0.0
bio_et0_yr,886.836,0.6218259930610657
bio_et0_yr,889.344,0.6227744221687317
bio_et0_yr,891.852,0.6237229704856873
bio_et0_yr,894.36,0.6246715784072876
bio_et0_yr,896.8679999999999,0.6256202459335327
bio_et0_yr,899.376,0.6265689134597778
bio_et0_yr,901.884,0.6275177001953125
bio_et0_yr,904.392,0.6284664273262024
bio_et0_yr,906.9,0.6294152140617371
bio_et0_yr,909.408,0.6303640604019165
bio_et0_yr,911.9159999999999,0.6313128471374512
bio_et0_yr,914.424,0.6322616934776306
bio_et0_yr,916.932,0.6332104802131653
bio_et0_yr,919.44,0.6341593265533447
bio_et0_yr,921.948,0.6351081132888794
bio_et0_yr,924.456,0.6360569000244141
bio_et0_yr,926.9639999999999,0.637005627155304
bio_et0_yr,929.472,0.6379543542861938
bio_et0_yr,931.98,0.638903021812439
bio_et0_yr,934.488,0.6398516893386841
bio_et0_yr,936.996,0.6408002376556396
bio_et0_yr,939.504,0.6417487859725952
bio_et0_yr,942.012,0.642697274684906
bio_et0_yr,944.52,0.6436456441879272
bio_et0_yr,947.028,0.6445939540863037
bio_et0_yr,949.5360000000001,0.6455422043800354
bio_et0_yr,952.044,0.6464903354644775
bio_et0_yr,954.552,0.6474383473396301
bio_et0_yr,957.06,0.6483862996101379
bio_et0_yr,959.568,0.6493341326713562
bio_et0_yr,962.076,0.6502817869186401
bio_et0_yr,964.5840000000001,0.6512293815612793
bio_et0_yr,967.092,0.6521768569946289
bio_et0_yr,969.6,0.6531241536140442
bio_et0_yr,972.108,0.6540713310241699
bio_et0_yr,974.616,0.6550183892250061
bio_et0_yr,977.124,0.6559652090072632
