variable,x,y
bio_et0_yr,781.5,0.0
bio_et0_yr,784.008,0.0
bio_et0_yr,786.516,0.0
bio_et0_yr,789.024,0.0
bio_et0_yr,791.532,0.0
bio_et0_yr,794.04,0.0
bio_et0_yr,796.548,0.0
bio_et0_yr,799.056,0.0
bio_et0_yr,801.564,0.0
bio_et0_yr,804.072,0.0
bio_et0_yr,806.58,0.0
bio_et0_yr,809.088,0.0
bio_et0_yr,811.596,0.0
bio_et0_yr,814.104,0.0
bio_et0_yr,816.612,0.0
bio_et0_yr,819.12,0.0
bio_et0_yr,821.628,0.0
bio_et0_yr,824.136,0.0
bio_et0_yr,826.644,0.0
bio_et0_yr,829.152,0.0
bio_et0_yr,831.66,0.0
bio_et0_yr,834.168,0.0
bio_et0_yr,836.676,0.0
bio_et0_yr,839.184,0.0
bio_et0_yr,841.692,0.0
bio_et0_yr,844.2,0.0
bio_et0_yr,846.708,0.0
bio_et0_yr,849.216,0.0
bio_et0_yr,851.724,0.0
bio_et0_yr,854.232,0.0
bio_et0_yr,856.74,0.0
bio_et0_yr,859.248,0.0
bio_et0_yr,861.756,0.0
bio_et0_yr,864.264,0.0
bio_et0_yr,866.772,0.0
bio_et0_yr,869.28,0.0
bio_et0_yr,871.788,0.0
bio_et0_yr,874.296,0.0
bio_et0_yr,876.804,0.0
bio_et0_yr,879.312,0.0
bio_et0_yr,881.8199999999999,0.0
bio_et0_yr,884.328,0.0
bio_et0_yr,886.836,0.2470950484275818
bio_et0_yr,889.344,0.24805119633674622
bio_et0_yr,891.852,0.24901039898395538
bio_et0_yr,894.36,0.2499726563692093
bio_et0_yr,896.8679999999999,0.2509379982948303
bio_et0_yr,899.376,0.2519063949584961
bio_et0_yr,901.884,0.2528778612613678
bio_et0_yr,904.392,0.2538524568080902
bio_et0_yr,906.9,0.25483009219169617
bio_et0_yr,909.408,0.25581082701683044
bio_et0_yr,911.9159999999999,0.25679466128349304
bio_et0_yr,914.424,0.2577815651893616
bio_et0_yr,916.932,0.2587715685367584
bio_et0_yr,919.44,0.259764701128006
bio_et0_yr,921.948,0.26076093316078186
bio_et0_yr,924.456,0.26176026463508606
bio_et0_yr,926.9639999999999,0.26276272535324097
bio_et0_yr,929.472,0.2637682855129242
bio_et0_yr,931.98,0.26477697491645813
bio_et0_yr,934.488,0.2657887935638428
bio_et0_yr,936.996,0.2668037414550781
bio_et0_yr,939.504,0.2678218185901642
bio_et0_yr,942.012,0.26884305477142334
bio_et0_yr,944.52,0.2698673903942108
bio_et0_yr,947.028,0.2708948850631714
bio_et0_yr,949.5360000000001,0.27192550897598267
bio_et0_yr,952.044,0.27295929193496704
bio_et0_yr,954.552,0.2739962339401245
bio_et0_yr,957.06,0.2750363349914551
bio_et0_yr,959.568,0.27607956528663635
bio_et0_yr,962.076,0.2771259844303131
bio_et0_yr,964.5840000000001,0.2781755328178406
bio_et0_yr,967.092,0.2792282700538635
bio_et0_yr,969.6,0.28028416633605957
bio_et0_yr,972.108,0.2813432514667511
bio_et0_yr,974.616,0.2824055254459381
bio_et0_yr,977.124,0.28347092866897583
