Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.84552E-12,0.000000001,0.000000003,0.998502695,0,0
2.54532E-12,0.000000003,0.000000005,0.997803953,0,0
4.57141E-12,0.00000001,0.000000009,0.995707726,0,0
8.35149E-12,0.000000025,0.000000016,0.993212218,0,0
1.91018E-11,0.000000102,0.000000036,0.98762228,0,0
3.64872E-11,0.000000254,0.000000068,0.982032342,0,0
9.62714E-11,0.000001004,0.000000179,0.969754442,0,0
1.77989E-10,0.000002512,0.000000332,0.958674386,0,0
5.68695E-10,0.000010033,0.00000106,0.937013376,0,0
1.24481E-9,0.000025092,0.000002321,0.919444999,0,0
2.17853E-9,0.000050003,0.000004062,0.904971052,0,0
4.308E-9,0.000100347,0.000008032,0.889199441,0,0
1.07001E-8,0.000250531,0.00001995,0.867937712,0,0
2.13064E-8,0.000501913,0.000039725,0.85176682,0,0
4.48559E-8,0.001003604,0.000083631,0.836095029,0,0
1.04733E-7,0.002504458,0.000195258,0.815731683,0,0
1.91572E-7,0.005017561,0.000357125,0.798562587,0,0
3.40933E-7,0.01002265,0.000635475,0.779197445,0,0
6.75994E-7,0.025009253,0.001259609,0.749750449,0,0
1.07856E-6,0.050093008,0.002008981,0.721301657,0,0
1.60395E-6,0.100031242,0.00298613,0.684168497,0,0
2.46311E-6,0.200023233,0.004581986,0.634857257,0,0
3.32407E-6,0.30031914,0.006178625,0.599920144,0,0
4.10252E-6,0.400392912,0.00762005,0.572968656,0,0
4.93931E-6,0.500243627,0.009167162,0.551008185,0,0
5.62716E-6,0.6002821,0.010437098,0.532142144,0,0
6.34184E-6,0.700581649,0.011754853,0.51537233,0,0
6.74867E-6,0.750141503,0.012504191,0.507785985,0,0
7.14329E-6,0.800108355,0.013230496,0.500598922,0,0
7.96421E-6,0.900648349,0.014739709,0.487322819,0,0
8.77623E-6,1.000402417,0.016230298,0.4754442,0,0
9.55735E-6,1.100214335,0.017662028,0.464563785,0,0
1.02953E-5,1.200568501,0.0190128,0.454481933,0,0
1.10957E-5,1.300064803,0.020475665,0.445198642,0,0
1.19028E-5,1.400445342,0.021948516,0.436514274,0,0
1.27164E-5,1.50119179,0.023431187,0.428329008,0,0
1.45926E-5,1.751387369,0.026841455,0.409962068,0,0
1.65534E-5,2.001555568,0.030392725,0.393890996,0,0
1.8576E-5,2.250592359,0.034042312,0.37971651,0,0
2.06702E-5,2.500414302,0.037806826,0.367039329,0,0
2.26579E-5,2.750638536,0.04136623,0.355559992,0,0
2.49109E-5,3.000758603,0.045384723,0.345078858,0,0
2.64938E-5,3.251523339,0.048197954,0.335296466,0,0
2.87972E-5,3.500606554,0.052276938,0.326312637,0,0
3.11471E-5,3.752514223,0.056420262,0.31792773,0,0
3.34499E-5,4.001319925,0.060462965,0.310241565,0,0
3.56901E-5,4.250480543,0.064379122,0.303054502,0,0
3.77002E-5,4.500022077,0.067879024,0.29626672,0,0
4.01296E-5,4.752954657,0.072091793,0.289778399,0,0
4.22852E-5,5.000121623,0.075813659,0.283789179,0,0
4.44524E-5,5.251664643,0.079540595,0.277999601,0,0
4.6685E-5,5.502269064,0.083364223,0.272509483,0,0
4.93423E-5,5.752075437,0.087894555,0.267318826,0,0
5.17341E-5,6.004569002,0.091953152,0.26232781,0,0
5.37862E-5,6.253049806,0.095420855,0.257636255,0,0
5.58155E-5,6.505439782,0.098836937,0.25304452,0,0
5.75465E-5,6.754708144,0.101740799,0.248652426,0,0
5.94647E-5,7.0057564,0.104947594,0.244360152,0,0
6.14584E-5,7.253462394,0.108268722,0.240267518,0,0
6.34125E-5,7.503101081,0.111511669,0.236274706,0,0
6.50331E-5,7.753836987,0.11419229,0.232381713,0,0
6.74543E-5,8.006304426,0.118182227,0.228588541,0,0
6.9372E-5,8.252377768,0.121329679,0.224995009,0,0
7.22863E-5,8.500423962,0.126091135,0.221501298,0,0
7.44082E-5,8.750205096,0.12954182,0.218107407,0,0
7.64911E-5,9.007392501,0.132915677,0.214713516,0,0
7.82845E-5,9.255392685,0.135810207,0.211519265,0,0
8.02478E-5,9.500857577,0.138967961,0.208424835,0,0
8.24155E-5,9.753368869,0.142441048,0.205330405,0,0
8.48872E-5,10.004251166,0.146384022,0.202335796,0,0
8.68573E-5,10.252851499,0.149513764,0.199441006,0,0
8.84082E-5,10.507065571,0.15196955,0.196546217,0,0
9.07959E-5,10.758010504,0.155736615,0.193751248,0,0
9.27932E-5,11.006860563,0.158874814,0.191056099,0,0
9.52124E-5,11.251541647,0.162660244,0.188460771,0,0
9.69612E-5,11.501715778,0.165386063,0.185865442,0,0
9.96019E-5,11.756958736,0.169485237,0.183270114,0,0
1.0104E-4,12.008281626,0.171708756,0.180774606,0,0
1.0346E-4,12.254217773,0.175438603,0.178378918,0,0
1.05675E-4,12.505213992,0.178836088,0.17598323,0,0
1.08447E-4,12.752017096,0.18306957,0.173687363,0,0
1.11184E-4,13.004863892,0.187227474,0.171391495,0,0
1.12945E-4,13.251193184,0.18989251,0.169195448,0,0
1.15417E-4,13.502114028,0.193617761,0.166999401,0,0
1.17097E-4,13.75784649,0.1961399,0.164803354,0,0
1.19226E-4,14.006208052,0.199323982,0.162707127,0,0
1.23114E-4,14.260869532,0.205108138,0.1606109,0,0
1.25607E-4,14.50986167,0.208794224,0.158614494,0,0
1.28046E-4,14.750368809,0.212384303,0.156717908,0,0
1.31158E-4,15.009848008,0.216941176,0.154721501,0,0
1.33064E-4,15.260777388,0.219718583,0.152824915,0,0
1.34275E-4,15.501530327,0.221477894,0.151028149,0,0
1.37257E-4,15.759392214,0.22579498,0.149131563,0,0
1.40212E-4,16.009407621,0.230049273,0.147334797,0,0
1.42098E-4,16.263540641,0.232750737,0.145538032,0,0
1.45619E-4,16.507424939,0.237772517,0.143841086,0,0
1.48181E-4,16.757154079,0.241403639,0.142144141,0,0
1.51314E-4,17.011116292,0.245822804,0.140447195,0,0
1.53562E-4,17.255584124,0.248976705,0.13885007,0,0
1.56372E-4,17.504330236,0.252901448,0.137252945,0,0
1.58747E-4,17.756568852,0.256203309,0.13565582,0,0
1.60543E-4,18.011608548,0.258689966,0.134058694,0,0
1.64354E-4,18.255449344,0.263937768,0.132561389,0,0
1.66696E-4,18.503728803,0.267145732,0.131064085,0,0
1.68599E-4,18.755240664,0.269740883,0.12956678,0,0
1.71677E-4,19.010485365,0.273919632,0.128069475,0,0
1.74839E-4,19.253420025,0.27818841,0.12667199,0,0
1.7768E-4,19.517687016,0.282001604,0.125174686,0,0
1.81836E-4,19.75217769,0.287543545,0.123877021,0,0
1.85401E-4,20.009537133,0.292263312,0.122479537,0,0
1.88308E-4,20.253036948,0.296089027,0.121181873,0,0
1.91145E-4,20.519049055,0.299803365,0.119784388,0,0
1.9454E-4,20.750813985,0.304221509,0.118586544,0.047619048,0
1.98014E-4,21.005781923,0.308713504,0.11728888,0.047619048,0
2.01736E-4,21.265889796,0.313494014,0.115991216,0.047619048,0
2.05614E-4,21.510556921,0.318440392,0.114793372,0.047619048,0
2.08421E-4,21.759174315,0.321997316,0.113595528,0.047619048,0
2.10479E-4,22.011054925,0.324594544,0.112397684,0.047619048,0
2.12243E-4,22.264937737,0.326812041,0.11119984,0.047619048,0
2.1564E-4,22.5005278,0.331062923,0.110101817,0.047619048,0
2.2012E-4,22.762194433,0.336627685,0.108903973,0.047619048,0
2.23204E-4,23.005479988,0.340430656,0.107805949,0.047619048,0
2.28712E-4,23.254525679,0.347169959,0.106707926,0.047619048,0
2.3193E-4,23.507731654,0.351074988,0.105609902,0.047619048,0
2.35154E-4,23.764993289,0.35496373,0.104511879,0.047619048,0
2.39197E-4,24.002679177,0.35980867,0.103513675,0.047619048,0
2.41265E-4,24.266995785,0.362272345,0.102415652,0.047619048,0
2.44837E-4,24.510153284,0.366505654,0.101417449,0.047619048,0
2.47157E-4,24.75599157,0.369239731,0.100419245,0.047619048,0
2.4897E-4,25.00393135,0.371367914,0.099421042,0.047619048,0
2.51873E-4,25.254647832,0.374761541,0.098422839,0.047619048,0
2.55291E-4,25.507711067,0.378733044,0.097424636,0.047619048,0
2.56451E-4,25.763574511,0.380075528,0.096426432,0.047619048,0
2.59863E-4,26.021721994,0.384007113,0.095428229,0.047619048,0
2.63767E-4,26.25759919,0.388474007,0.094529846,0.047619048,0
2.66942E-4,26.522714665,0.392084226,0.093531643,0.047619048,0
2.69509E-4,26.764477479,0.394986794,0.09263326,0.047619048,0
2.72696E-4,27.00820555,0.398571327,0.091734877,0.047619048,0
2.76302E-4,27.255081584,0.402601695,0.090836494,0.047619048,0
2.78839E-4,27.505048917,0.405420882,0.089938111,0.047619048,0
2.81501E-4,27.757469115,0.408363829,0.089039728,0.047619048,0
2.85468E-4,28.01225496,0.412724544,0.088141346,0.047619048,0
2.9067E-4,28.271843689,0.418392649,0.087242963,0.047619048,0
2.94542E-4,28.506104236,0.422576412,0.0864444,0.047619048,0
2.97528E-4,28.772901879,0.425782036,0.085546017,0.047619048,0
3.01099E-4,29.012749683,0.429592543,0.084747455,0.047619048,0
3.03371E-4,29.254583593,0.432004377,0.083948892,0.047619048,0
3.08639E-4,29.530329546,0.437555959,0.083050509,0.047619048,0
3.12192E-4,29.779373757,0.441269837,0.082251946,0.047619048,0
3.14983E-4,30.030422627,0.444169076,0.081453384,0.047619048,0
3.16749E-4,30.251670854,0.445996652,0.080754642,0.047619048,0
3.21557E-4,30.507602351,0.450941076,0.079956079,0.047619048,0
3.26605E-4,30.767340172,0.456084893,0.079157516,0.047619048,0
3.31552E-4,31.030757924,0.46107797,0.078358954,0.047619048,0
3.33843E-4,31.2638632,0.463375549,0.077660212,0.047619048,0
3.40674E-4,31.500154893,0.470166708,0.076961469,0.047619048,0
3.4345E-4,31.773913298,0.472902138,0.076162907,0.047619048,0
3.45867E-4,32.015210085,0.475272503,0.075464165,0.047619048,0
3.50146E-4,32.258989457,0.479442308,0.074765422,0.047619048,0
3.52863E-4,32.504997191,0.482072893,0.07406668,0.047619048,0
3.56632E-4,32.753097589,0.485699325,0.073367938,0.047619048,0
3.60206E-4,33.004029787,0.489114708,0.072669195,0.047619048,0
3.64564E-4,33.25787338,0.4932491,0.071970453,0.047619048,0
3.74706E-4,33.516867053,0.502742153,0.071271711,0.047619048,0
3.80515E-4,33.781210636,0.508098761,0.070572969,0.047619048,0
3.84032E-4,34.010885349,0.511314367,0.069974047,0.047619048,0
3.87265E-4,34.280992366,0.514251033,0.069275304,0.047619048,0
3.91188E-4,34.514202318,0.517790564,0.068676383,0.047619048,0
3.95626E-4,34.750202732,0.521765042,0.068077461,0.047619048,0
4.00352E-4,35.028465435,0.525959902,0.067378718,0.047619048,0
4.04443E-4,35.270004818,0.529562537,0.066779796,0.047619048,0
4.0674E-4,35.513357829,0.531572739,0.066180874,0.047619048,0
4.09275E-4,35.758628,0.533781638,0.065581952,0.047619048,0
4.11352E-4,36.004812018,0.535583813,0.064983031,0.047619048,0
4.18207E-4,36.253564821,0.54148157,0.064384109,0.047619048,0
4.2035E-4,36.504816314,0.543310032,0.063785187,0.047619048,0
4.22125E-4,36.757476766,0.544818998,0.063186265,0.047619048,0
4.28733E-4,37.013293237,0.550393077,0.062587343,0.047619048,0
4.32627E-4,37.27152902,0.553645157,0.061988421,0.095238095,0
4.42322E-4,37.53510753,0.561641194,0.061389499,0.095238095,0
4.45915E-4,37.757436667,0.56456818,0.060890397,0.095238095,0
4.48525E-4,38.025677009,0.566681782,0.060291475,0.095238095,0
4.53592E-4,38.251403614,0.570756134,0.059792374,0.095238095,0
4.57388E-4,38.524791558,0.573784124,0.059193452,0.095238095,0
4.60963E-4,38.754515065,0.57661581,0.05869435,0.095238095,0
4.65464E-4,39.033119064,0.580154043,0.058095428,0.095238095,0
4.68439E-4,39.267022273,0.582476082,0.057596327,0.095238095,0
4.74136E-4,39.503152327,0.58688733,0.057097225,0.095238095,0
4.76603E-4,39.788415227,0.588783767,0.056498303,0.095238095,0
4.81105E-4,40.028036833,0.592220551,0.055999201,0.095238095,0
4.85736E-4,40.270181767,0.595726915,0.0555001,0.095238095,0
4.88678E-4,40.513887056,0.597938131,0.055000998,0.095238095,0
4.93214E-4,40.7597433,0.601324525,0.054501897,0.095238095,0
4.95663E-4,41.006975337,0.60314091,0.054002795,0.095238095,0
4.9767E-4,41.25544784,0.604622723,0.053503693,0.095238095,0
4.99139E-4,41.504595559,0.605704354,0.053004592,0.095238095,0
5.08072E-4,41.757222652,0.612217368,0.05250549,0.095238095,0
5.10701E-4,42.0118104,0.614113436,0.052006389,0.095238095,0
5.16724E-4,42.269252345,0.618422727,0.051507287,0.095238095,0
5.19219E-4,42.52821866,0.620193434,0.051008185,0.19047619,0
5.24725E-4,42.788744675,0.624072947,0.050509084,0.19047619,0
5.26604E-4,43.051610447,0.625387694,0.050009982,0.19047619,0
5.29031E-4,43.263044627,0.627078996,0.049610701,0.19047619,0
5.3614E-4,43.530267793,0.631989646,0.049111599,0.19047619,0
5.43874E-4,43.801538198,0.637258236,0.048612498,0.19047619,0
5.47701E-4,44.019897919,0.639836891,0.048213216,0.19047619,0
5.53839E-4,44.295210692,0.643935249,0.047714115,0.19047619,0
5.59317E-4,44.518167151,0.647553967,0.047314833,0.19047619,0
5.61703E-4,44.798404273,0.649118501,0.046815732,0.19047619,0
5.67031E-4,45.02486867,0.652586869,0.04641645,0.19047619,0
5.68411E-4,45.252101743,0.653479267,0.046017169,0.333333333,0
5.73272E-4,45.537952371,0.656605943,0.045518067,0.333333333,0
5.75365E-4,45.767735855,0.657943452,0.045118786,0.333333333,0
5.82025E-4,46.057240816,0.662164579,0.044619685,0.333333333,0
5.88443E-4,46.291477622,0.666183222,0.044220403,0.333333333,0
5.91205E-4,46.527622716,0.667897917,0.043821122,0.333333333,0
5.95165E-4,46.765216974,0.670341021,0.043421841,0.333333333,0
5.98521E-4,47.004414622,0.672397085,0.043022559,0.333333333,0
6.02535E-4,47.304647316,0.674840329,0.042523458,0.333333333,0
6.05076E-4,47.54638442,0.676376822,0.042124176,0.333333333,0
6.08893E-4,47.789201179,0.678671775,0.041724895,0.380952381,0
6.14126E-4,48.03425222,0.681791643,0.041325614,0.380952381,0
6.15971E-4,48.280229614,0.68288463,0.040926333,0.380952381,0
6.24015E-4,48.529357454,0.687605282,0.040527051,0.380952381,0
6.28539E-4,48.78012827,0.690229337,0.04012777,0.380952381,0
6.29581E-4,49.031790179,0.690830825,0.039728489,0.380952381,0
6.31718E-4,49.284004073,0.692060114,0.039329207,0.380952381,0
6.42027E-4,49.539393207,0.697922639,0.038929926,0.380952381,0
6.45206E-4,49.797323939,0.699707932,0.038530645,0.380952381,0
6.50057E-4,50.056310869,0.702411304,0.038131364,0.380952381,0
6.51611E-4,50.251539871,0.703272608,0.037831903,0.380952381,0
6.57149E-4,50.513891265,0.706320906,0.037432621,0.380952381,0
6.61157E-4,50.777804168,0.708506997,0.03703334,0.476190476,0
6.63779E-4,51.043193437,0.709928712,0.036634059,0.476190476,0
6.68292E-4,51.309658208,0.712359166,0.036234777,0.476190476,0
6.72495E-4,51.510779877,0.714604719,0.035935316,0.476190476,0
6.74647E-4,51.780301424,0.715747229,0.035536035,0.476190476,0
6.83676E-4,52.052684499,0.720492912,0.035136754,0.476190476,0
6.88129E-4,52.258476078,0.722803652,0.034837293,0.476190476,0
6.96422E-4,52.534945195,0.727056945,0.034438012,0.476190476,0
7.09845E-4,52.816045643,0.733803465,0.03403873,0.476190476,0
7.16853E-4,53.030134384,0.737258936,0.033739269,0.476190476,0
7.19766E-4,53.317863604,0.738682233,0.033339988,0.476190476,0
7.2239E-4,53.534279169,0.739957424,0.033040527,0.476190476,0
7.28401E-4,53.752494462,0.742855407,0.032741066,0.476190476,0
7.32905E-4,54.04503582,0.745005891,0.032341785,0.476190476,0
7.43136E-4,54.266453693,0.749824144,0.032042324,0.476190476,0
7.51765E-4,54.566518494,0.753817143,0.031643043,0.476190476,0
7.56105E-4,54.793029779,0.755801106,0.031343582,0.476190476,0
7.58867E-4,55.020207094,0.757055472,0.031044121,0.476190476,0
7.7122E-4,55.250940159,0.762587094,0.03074466,0.476190476,0
7.72901E-4,55.637143524,0.763329962,0.030245558,0.571428571,0
7.81481E-4,55.793037318,0.767085998,0.030045917,0.571428571,0
7.88227E-4,56.02899593,0.769997386,0.029746456,0.571428571,0
7.97205E-4,56.266969524,0.773815512,0.029446995,0.571428571,0
8.0054E-4,56.506949987,0.775217596,0.029147534,0.571428571,0
8.07248E-4,56.828415316,0.778011595,0.028748253,0.571428571,0
8.09868E-4,57.071311231,0.779093218,0.028448792,0.571428571,0
8.11437E-4,57.314516398,0.779738505,0.028149331,0.571428571,0
8.20335E-4,57.559347528,0.783362453,0.02784987,0.571428571,0
8.25235E-4,57.806652625,0.785332784,0.027550409,0.571428571,0
8.32178E-4,58.056007703,0.788093672,0.027250948,0.571428571,0
8.38431E-4,58.3068278,0.790550172,0.026951487,0.571428571,0
8.44876E-4,58.559822747,0.793052047,0.026652026,0.571428571,0
8.50181E-4,58.814469218,0.795088848,0.026352565,0.571428571,0
8.61379E-4,59.071946733,0.799322663,0.026053104,0.571428571,0
8.63309E-4,59.330586409,0.800043789,0.025753643,0.571428571,0
8.66733E-4,59.503701114,0.80131613,0.025554003,0.571428571,0
8.72411E-4,59.764678572,0.803408414,0.025254542,0.571428571,0
8.75376E-4,60.026944608,0.80449215,0.024955081,0.571428571,0
8.8008E-4,60.290633938,0.806199688,0.02465562,0.571428571,0
8.85594E-4,60.555827929,0.808181805,0.024356159,0.571428571,0
8.94371E-4,60.823281667,0.811295129,0.024056698,0.571428571,0
8.952E-4,61.002253944,0.811586576,0.023857057,0.571428571,0
9.03107E-4,61.272654387,0.81434407,0.023557596,0.571428571,0
9.09874E-4,61.54519239,0.816671797,0.023258135,0.571428571,0
9.17912E-4,61.819523735,0.819398768,0.022958674,0.571428571,0
9.26287E-4,62.004379624,0.822197008,0.022759034,0.571428571,0
9.3413E-4,62.283866852,0.824778229,0.022459573,0.571428571,0
9.37482E-4,62.564664709,0.82587016,0.022160112,0.571428571,0
9.44841E-4,62.753193503,0.828242993,0.021960471,0.571428571,0
9.49837E-4,63.037516656,0.82983532,0.02166101,0.571428571,0
9.62782E-4,63.324826035,0.833893541,0.021361549,0.571428571,0
9.7211E-4,63.518659447,0.836757523,0.021161909,0.571428571,0
9.79311E-4,63.812111727,0.838934352,0.020862448,0.571428571,0
9.84593E-4,64.008827424,0.840512955,0.020662807,0.571428571,0
9.95601E-4,64.306301245,0.843752921,0.020363346,0.571428571,0
1.00031E-3,64.506175567,0.845117714,0.020163705,0.571428571,0
1.00565E-3,64.807115147,0.846653745,0.019864244,0.571428571,0
1.00706E-3,65.008437977,0.847055633,0.019664604,0.571428571,0
1.01548E-3,65.312843518,0.849437488,0.019365143,0.571428571,0
1.02727E-3,65.517591975,0.852710842,0.019165502,0.571428571,0
1.03158E-3,65.826610007,0.853891178,0.018866041,0.571428571,0
1.03671E-3,66.033838591,0.85528106,0.0186664,0.571428571,0
1.04935E-3,66.347562851,0.858653618,0.01836694,0.571428571,0
1.05257E-3,66.557805218,0.85949794,0.018167299,0.571428571,0
1.05689E-3,66.768931121,0.860625032,0.017967658,0.571428571,0
1.0741E-3,67.089345295,0.865027507,0.017668197,0.571428571,0
1.08421E-3,67.305305835,0.867547213,0.017468557,0.571428571,0
1.10063E-3,67.525207908,0.871540214,0.017268916,0.571428571,0
1.10331E-3,67.856059988,0.872180815,0.016969455,0.571428571,0
1.11908E-3,68.07878152,0.875885628,0.016769814,0.571428571,0
1.12663E-3,68.304077333,0.877619962,0.016570174,0.619047619,0
1.13748E-3,68.531141697,0.880071189,0.016370533,0.619047619,0
1.14505E-3,68.759595843,0.881751714,0.016170892,0.619047619,0
1.16115E-3,69.106016999,0.885247574,0.015871431,0.619047619,0
1.16666E-3,69.339226179,0.886421806,0.015671791,0.619047619,0
1.17049E-3,69.572994176,0.887229855,0.01547215,0.619047619,0
1.17509E-3,69.807943836,0.888191795,0.015272509,0.619047619,0
1.17959E-3,70.043617059,0.889126184,0.015072869,0.666666667,0
1.19502E-3,70.281722896,0.892271949,0.014873228,0.666666667,0
1.20411E-3,70.522343738,0.89408246,0.014673588,0.666666667,0
1.20622E-3,70.763429707,0.894498226,0.014473947,0.666666667,0
1.21787E-3,71.006677509,0.89676465,0.014274306,0.666666667,0
