Predictor variable,Categorical,Sample average
bio_1,false,27.04861086890811
bio_10,false,27.428571246919176
bio_11,false,26.503968011765252
bio_12,false,2403.5238095238096
bio_13,false,324.14285714285717
bio_14,false,77.80952380952381
bio_15,false,37.72517422267369
bio_16,false,823.5714285714286
bio_17,false,335.57142857142856
bio_2,false,10.002777599153065
bio_3,false,87.3619631812686
bio_4,false,38.07526733761742
bio_5,false,33.114285060337615
bio_6,false,21.661904925391788
bio_7,false,11.452380134945823
bio_ai_et0,false,15033.952380952382
bio_et0_yr,false,1598.6190476190477
