Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_ai_et0 contribution,bio_et0_yr contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_ai_et0 permutation importance,bio_et0_yr permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_ai_et0,Training gain without bio_et0_yr,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_ai_et0,Training gain with only bio_et0_yr,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.3190,2.0621,140,0.9661,10021,4.9067,0.0000,0.0000,0.0000,0.0000,0.0000,38.2139,0.2870,18.2154,0.0000,0.9193,0.8405,0.2877,36.3294,0.0000,0.0000,0.0000,5.7558,0.0000,0.0000,0.0000,0.0000,0.0000,52.8502,0.0000,0.0000,0.0000,2.0730,5.7403,0.8502,32.7305,0.0000,0.0000,0.0000,1.3185,1.3190,1.3190,1.3190,1.3190,1.3190,1.0557,1.3190,1.3161,1.3190,1.2910,1.3014,1.3190,1.3062,1.3190,1.3190,1.3190,0.2871,0.2565,0.2714,0.0351,0.0000,0.0760,0.1868,0.0000,0.2201,0.0155,0.0167,0.0001,0.2516,0.3095,0.0000,0.0089,0.0301,7.8925,0.1533,1.0000,0.0226,0.6255,0.0000,5.0000,0.0838,0.4057,0.0000,10.0000,0.1538,0.2973,0.0000,27.7748,0.3857,0.1329,0.0000,50.3179,0.7040,0.0526,0.0952,46.4650,0.6501,0.0617,0.0476,46.4650,0.6501,0.0617,0.0476,6.1515,0.1013,0.3740,0.0000,12.0536,0.1785,0.2671,0.0000
Gustavia_santanderiensis_1,21,1.3014,1.7407,180,0.9523,10017,9.1194,0.0000,0.0000,0.0000,0.0000,0.0000,43.1814,0.0000,14.7338,0.0000,0.0000,0.0000,0.1053,32.8602,0.0000,0.0000,0.0000,50.9902,0.0000,0.0000,0.0000,0.0000,0.0000,48.5009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5089,0.0000,0.0000,0.0000,1.2894,1.3014,1.3014,1.3014,1.3014,1.3014,0.9917,1.3014,1.3014,1.3014,1.3014,1.3014,1.3014,1.3010,1.3014,1.3014,1.3014,0.3044,0.2727,0.2895,0.0414,0.0037,0.0772,0.1764,0.0019,0.1885,0.0287,0.0190,0.0000,0.2672,0.3195,0.0000,0.0118,0.0327,7.9109,0.1567,1.0000,0.0219,0.6107,0.0000,5.0000,0.0871,0.3865,0.0000,10.0000,0.1657,0.2834,0.0000,24.6390,0.3732,0.1494,0.0000,44.5510,0.6374,0.0704,0.0952,36.5674,0.5305,0.0952,0.0952,24.6390,0.3732,0.1494,0.0000,5.8895,0.1030,0.3622,0.0000,10.7864,0.1780,0.2721,0.0000
Gustavia_santanderiensis_2,21,1.4204,2.1533,240,0.9661,10021,0.0168,0.0000,0.2137,0.0000,1.3461,0.0000,39.2622,0.0000,24.2690,0.0000,0.1541,0.2032,0.4955,34.0394,0.0000,0.0000,0.0000,10.6182,0.0000,0.0000,0.0000,0.0000,0.0000,63.2406,0.0000,0.0000,0.0000,0.7019,0.7838,0.2833,24.3722,0.0000,0.0000,0.0000,1.4200,1.4203,1.4203,1.4204,1.4204,1.4204,1.0767,1.4204,1.4141,1.4204,1.4166,1.4165,1.4204,1.4120,1.4204,1.4204,1.4204,0.2206,0.1922,0.2061,0.0543,0.0000,0.1995,0.2851,0.0003,0.3153,0.0068,0.0373,0.0025,0.1867,0.2453,0.0000,0.0235,0.0217,7.7921,0.1384,1.0000,0.0193,0.5908,0.0000,5.0000,0.0800,0.3728,0.0000,10.0000,0.1496,0.2700,0.0000,31.2850,0.4349,0.1038,0.0000,40.0037,0.5531,0.0725,0.0952,33.4309,0.4644,0.0952,0.0952,31.2850,0.4349,0.1038,0.0000,5.9249,0.0921,0.3481,0.0000,12.1158,0.1787,0.2416,0.0000
Gustavia_santanderiensis_3,21,1.5617,2.2502,220,0.9696,10021,12.5673,0.0000,0.0000,0.0000,0.7880,0.0000,42.2772,0.0000,18.0280,0.0000,0.0000,0.0271,0.9235,25.3148,0.0000,0.0000,0.0741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5554,0.0000,0.0000,0.0000,0.0000,0.2763,27.3297,11.3949,0.0000,0.0000,1.4436,1.5617,1.5617,1.5617,1.5617,1.5617,1.5617,1.1251,1.5617,1.5610,1.5617,1.5617,1.5598,1.5484,1.5565,1.5617,1.5617,1.5584,0.2906,0.2684,0.2703,0.0212,0.0000,0.0827,0.2645,0.0000,0.2721,0.0514,0.0173,0.0000,0.2807,0.3025,0.0001,0.0013,0.0410,7.6508,0.1200,1.0000,0.0163,0.5451,0.0000,5.0000,0.0751,0.3287,0.0000,10.0000,0.1435,0.2345,0.0000,26.5541,0.3745,0.1087,0.0000,36.1912,0.5071,0.0736,0.0952,29.8129,0.4198,0.0952,0.0952,26.5541,0.3745,0.1087,0.0000,5.4078,0.0804,0.3182,0.0000,12.0375,0.1733,0.2098,0.0000
Gustavia_santanderiensis_4,21,1.7335,2.4222,120,0.9766,10021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.0875,0.2797,8.9136,0.0000,0.8294,0.2359,0.8023,36.8516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.5726,0.0000,0.0000,0.0000,0.4045,0.8319,0.0000,48.1910,0.0000,0.0000,0.0000,1.7335,1.7335,1.7335,1.7335,1.7335,1.7335,1.2252,1.7335,1.7335,1.7335,1.7115,1.7279,1.7323,1.6762,1.7335,1.7335,1.7335,0.2958,0.2675,0.2740,0.0203,0.0000,0.0522,0.2975,0.0000,0.2459,0.0167,0.0240,0.0000,0.2640,0.3408,0.0000,0.0018,0.0322,7.4792,0.1001,1.0000,0.0150,0.5018,0.0000,5.0000,0.0664,0.3027,0.0000,10.0000,0.1265,0.2117,0.0000,32.4580,0.4331,0.0702,0.0000,35.4583,0.4861,0.0616,0.0952,34.1094,0.4639,0.0653,0.0476,32.4580,0.4331,0.0702,0.0000,5.1575,0.0681,0.2987,0.0000,13.0776,0.1606,0.1766,0.0000
Gustavia_santanderiensis_5,21,1.6359,2.3190,160,0.9720,10016,6.6155,0.0000,0.0000,0.0000,0.1461,6.4289,47.1183,0.0000,11.3395,0.0000,0.0000,0.4225,0.0010,27.8974,0.0000,0.0000,0.0308,43.3858,0.0000,0.0000,0.0000,0.0000,0.0000,55.3807,0.0000,0.0105,0.0000,0.0000,0.8947,0.0000,0.0000,0.0000,0.0000,0.3283,1.6185,1.6359,1.6359,1.6359,1.6359,1.6359,1.1592,1.6359,1.6358,1.6359,1.6359,1.6236,1.6359,1.6359,1.6359,1.6359,1.6351,0.2393,0.2062,0.2269,0.0900,0.0000,0.2648,0.3371,0.0024,0.3233,0.0136,0.0615,0.0114,0.1958,0.2571,0.0000,0.0500,0.0251,7.5766,0.1109,1.0000,0.0159,0.5137,0.0000,5.0000,0.0712,0.3113,0.0000,10.0000,0.1396,0.2208,0.0000,23.5983,0.3175,0.1133,0.0000,31.7618,0.4454,0.0794,0.0952,27.5157,0.3712,0.0952,0.0952,23.5983,0.3175,0.1133,0.0000,5.2477,0.0749,0.3050,0.0000,12.2385,0.1719,0.1949,0.0000
Gustavia_santanderiensis_6,21,1.3338,1.9580,240,0.9576,10021,9.8392,0.0000,0.0000,0.0000,0.0000,0.0000,47.8749,0.0000,14.7769,0.0000,0.0000,0.0050,0.2739,27.2301,0.0000,0.0000,0.0000,48.1382,0.0000,0.0000,0.0000,0.0000,0.0000,51.8420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,0.0000,0.0000,0.0000,0.0000,1.3286,1.3338,1.3338,1.3338,1.3338,1.3338,0.8979,1.3338,1.3338,1.3338,1.3338,1.3338,1.3338,1.3338,1.3338,1.3338,1.3338,0.2318,0.2088,0.2167,0.0317,0.0000,0.1046,0.2511,0.0000,0.2438,0.0174,0.0176,0.0000,0.2111,0.2434,0.0000,0.0076,0.0271,7.8786,0.1517,1.0000,0.0209,0.6061,0.0000,5.0000,0.0862,0.3831,0.0000,10.0000,0.1625,0.2803,0.0000,26.7588,0.3924,0.1361,0.0000,28.9108,0.4186,0.1251,0.0952,28.9314,0.4190,0.1251,0.1429,26.7588,0.3924,0.1361,0.0000,5.8553,0.1000,0.3600,0.0000,11.2074,0.1810,0.2634,0.0000
Gustavia_santanderiensis_7,21,1.4973,2.0423,160,0.9667,10021,13.2227,0.0000,0.0000,0.0000,0.0000,0.0000,52.3787,0.0000,5.9923,0.0000,0.7255,0.1885,0.7935,26.6988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.1059,0.0000,0.0000,0.0000,0.1720,1.7915,21.2459,22.6846,0.0000,0.0000,0.0000,1.4973,1.4973,1.4973,1.4973,1.4973,1.4973,0.9959,1.4973,1.4973,1.4973,1.4922,1.4912,1.4856,1.4850,1.4973,1.4973,1.4973,0.3079,0.2830,0.2859,0.0121,0.0000,0.0326,0.2260,0.0000,0.1746,0.0549,0.0051,0.0000,0.3019,0.3194,0.0030,0.0000,0.0352,7.7155,0.1283,1.0000,0.0174,0.5655,0.0000,5.0000,0.0782,0.3468,0.0000,10.0000,0.1472,0.2501,0.0000,24.1444,0.3375,0.1287,0.0000,38.7204,0.5445,0.0713,0.0952,31.4664,0.4451,0.0952,0.0952,24.1444,0.3375,0.1287,0.0000,5.5112,0.0854,0.3334,0.0000,12.0580,0.1744,0.2237,0.0000
Gustavia_santanderiensis_8,21,1.6111,2.1994,180,0.9714,10019,6.9989,0.0000,0.0000,0.0000,0.0000,0.0000,46.2357,0.0000,6.8585,0.0000,0.0000,0.1429,0.4841,38.3399,0.0000,0.0000,0.9399,40.1330,0.0000,0.0000,0.0000,0.0000,0.0000,37.4816,0.0000,0.0000,0.0000,0.0000,0.7085,0.0000,15.1963,0.0000,0.0000,6.4806,1.6077,1.6111,1.6111,1.6111,1.6111,1.6111,1.3669,1.6111,1.6111,1.6111,1.6111,1.6051,1.6111,1.6015,1.6111,1.6111,1.5995,0.4016,0.3522,0.3861,0.0629,0.0004,0.0401,0.1860,0.0038,0.1703,0.0478,0.0761,0.0115,0.3309,0.4369,0.0000,0.0244,0.0398,7.6016,0.1137,1.0000,0.0170,0.4882,0.0000,5.0000,0.0785,0.2986,0.0000,10.0000,0.1485,0.2129,0.0000,39.1726,0.5933,0.0600,0.0000,42.4022,0.6317,0.0531,0.0476,42.4022,0.6317,0.0531,0.0476,39.1726,0.5933,0.0600,0.0000,4.8812,0.0767,0.3016,0.0000,11.1154,0.1629,0.1997,0.0000
Gustavia_santanderiensis_9,21,1.6963,2.1195,120,0.9657,10019,26.4503,0.0000,0.0000,0.0000,0.0000,0.0000,37.9712,0.0000,14.8329,0.0000,0.0000,0.1370,0.1768,20.4297,0.0000,0.0000,0.0021,59.0399,0.0000,0.0000,0.0000,0.0000,0.0000,40.7062,0.0000,0.0000,0.0000,0.0000,0.1746,0.0000,0.0000,0.0000,0.0000,0.0794,1.6702,1.6963,1.6963,1.6963,1.6963,1.6963,1.3909,1.6963,1.6960,1.6963,1.6963,1.6935,1.6963,1.6963,1.6963,1.6963,1.6962,0.4563,0.4092,0.4386,0.0689,0.0103,0.1015,0.1791,0.0170,0.2097,0.0900,0.0592,0.0012,0.3943,0.4564,0.0011,0.0246,0.0498,7.5159,0.1043,1.0000,0.0159,0.4740,0.0000,5.0000,0.0718,0.2773,0.0000,10.0000,0.1454,0.1941,0.0000,15.3623,0.2273,0.1454,0.0000,36.3246,0.5527,0.0615,0.0476,36.3246,0.5527,0.0615,0.0476,36.3246,0.5527,0.0615,0.0476,4.9217,0.0707,0.2793,0.0000,10.9779,0.1602,0.1834,0.0000
