variable,x,y
bio_et0_yr,822.7,0.0
bio_et0_yr,825.1312,0.0
bio_et0_yr,827.5624,0.0
bio_et0_yr,829.9936,0.0
bio_et0_yr,832.4248,0.0
bio_et0_yr,834.856,0.0
bio_et0_yr,837.2872000000001,0.0
bio_et0_yr,839.7184000000001,0.0
bio_et0_yr,842.1496000000001,0.0
bio_et0_yr,844.5808000000001,0.0
bio_et0_yr,847.0120000000001,0.0
bio_et0_yr,849.4432,0.0
bio_et0_yr,851.8744,0.0
bio_et0_yr,854.3056,0.0
bio_et0_yr,856.7368,0.0
bio_et0_yr,859.168,0.0
bio_et0_yr,861.5992,0.0
bio_et0_yr,864.0304000000001,0.0
bio_et0_yr,866.4616000000001,0.0
bio_et0_yr,868.8928000000001,0.0
bio_et0_yr,871.3240000000001,0.0
bio_et0_yr,873.7552000000001,0.0
bio_et0_yr,876.1864,0.0
bio_et0_yr,878.6176,0.0
bio_et0_yr,881.0488,0.0
bio_et0_yr,883.48,0.0
bio_et0_yr,885.9112,0.0
bio_et0_yr,888.3424,0.0
bio_et0_yr,890.7736,0.0
bio_et0_yr,893.2048,0.0
bio_et0_yr,895.6360000000001,0.0
bio_et0_yr,898.0672000000001,0.0
bio_et0_yr,900.4984000000001,0.0
bio_et0_yr,902.9296,0.0
bio_et0_yr,905.3608,0.0
bio_et0_yr,907.792,0.0
bio_et0_yr,910.2232,0.0
bio_et0_yr,912.6544,0.0
bio_et0_yr,915.0856,0.0
bio_et0_yr,917.5168,0.0
bio_et0_yr,919.9480000000001,0.0
bio_et0_yr,922.3792000000001,0.0
bio_et0_yr,924.8104000000001,0.4182935953140259
bio_et0_yr,927.2416000000001,0.4188200831413269
bio_et0_yr,929.6728,0.4193483591079712
bio_et0_yr,932.104,0.41987845301628113
bio_et0_yr,934.5352,0.42041030526161194
bio_et0_yr,936.9664,0.420943945646286
bio_et0_yr,939.3976,0.42147940397262573
bio_et0_yr,941.8288,0.4220166504383087
bio_et0_yr,944.26,0.42255571484565735
bio_et0_yr,946.6912,0.42309656739234924
bio_et0_yr,949.1224000000001,0.4236392378807068
bio_et0_yr,951.5536000000001,0.4241836965084076
bio_et0_yr,953.9848000000001,0.42473000288009644
bio_et0_yr,956.416,0.42527809739112854
bio_et0_yr,958.8472,0.4258280396461487
bio_et0_yr,961.2784,0.4263797700405121
bio_et0_yr,963.7096,0.42693331837654114
bio_et0_yr,966.1408,0.4274887144565582
bio_et0_yr,968.5720000000001,0.42804595828056335
bio_et0_yr,971.0032,0.42860499024391174
bio_et0_yr,973.4344000000001,0.42916586995124817
bio_et0_yr,975.8656000000001,0.42972859740257263
bio_et0_yr,978.2968000000001,0.43029317259788513
bio_et0_yr,980.7280000000001,0.4308595657348633
bio_et0_yr,983.1592,0.43142780661582947
bio_et0_yr,985.5904,0.4319978952407837
bio_et0_yr,988.0216,0.43256983160972595
bio_et0_yr,990.4528,0.43314364552497864
bio_et0_yr,992.884,0.433719277381897
bio_et0_yr,995.3152,0.43429678678512573
bio_et0_yr,997.7464,0.43487614393234253
bio_et0_yr,1000.1776,0.43545737862586975
bio_et0_yr,1002.6088,0.4360404908657074
bio_et0_yr,1005.0400000000001,0.4366254210472107
bio_et0_yr,1007.4712000000001,0.4372122585773468
