variable,x,y
bio_et0_yr,822.7,0.0
bio_et0_yr,825.1312,0.0
bio_et0_yr,827.5624,0.0
bio_et0_yr,829.9936,0.0
bio_et0_yr,832.4248,0.0
bio_et0_yr,834.856,0.0
bio_et0_yr,837.2872000000001,0.0
bio_et0_yr,839.7184000000001,0.0
bio_et0_yr,842.1496000000001,0.0
bio_et0_yr,844.5808000000001,0.0
bio_et0_yr,847.0120000000001,0.0
bio_et0_yr,849.4432,0.0
bio_et0_yr,851.8744,0.0
bio_et0_yr,854.3056,0.0
bio_et0_yr,856.7368,0.0
bio_et0_yr,859.168,0.0
bio_et0_yr,861.5992,0.0
bio_et0_yr,864.0304000000001,0.0
bio_et0_yr,866.4616000000001,0.0
bio_et0_yr,868.8928000000001,0.0
bio_et0_yr,871.3240000000001,0.0
bio_et0_yr,873.7552000000001,0.0
bio_et0_yr,876.1864,0.0
bio_et0_yr,878.6176,0.0
bio_et0_yr,881.0488,0.0
bio_et0_yr,883.48,0.0
bio_et0_yr,885.9112,0.0
bio_et0_yr,888.3424,0.0
bio_et0_yr,890.7736,0.0
bio_et0_yr,893.2048,0.0
bio_et0_yr,895.6360000000001,0.0
bio_et0_yr,898.0672000000001,0.0
bio_et0_yr,900.4984000000001,0.0
bio_et0_yr,902.9296,0.0
bio_et0_yr,905.3608,0.0
bio_et0_yr,907.792,0.0
bio_et0_yr,910.2232,0.0
bio_et0_yr,912.6544,0.0
bio_et0_yr,915.0856,0.0
bio_et0_yr,917.5168,0.0
bio_et0_yr,919.9480000000001,0.0
bio_et0_yr,922.3792000000001,0.0
bio_et0_yr,924.8104000000001,1.0
bio_et0_yr,927.2416000000001,1.0
bio_et0_yr,929.6728,1.0
bio_et0_yr,932.104,1.0
bio_et0_yr,934.5352,1.0
bio_et0_yr,936.9664,1.0
bio_et0_yr,939.3976,1.0
bio_et0_yr,941.8288,1.0
bio_et0_yr,944.26,1.0
bio_et0_yr,946.6912,1.0
bio_et0_yr,949.1224000000001,1.0
bio_et0_yr,951.5536000000001,1.0
bio_et0_yr,953.9848000000001,1.0
bio_et0_yr,956.416,1.0
bio_et0_yr,958.8472,1.0
bio_et0_yr,961.2784,1.0
bio_et0_yr,963.7096,1.0
bio_et0_yr,966.1408,1.0
bio_et0_yr,968.5720000000001,1.0
bio_et0_yr,971.0032,1.0
bio_et0_yr,973.4344000000001,1.0
bio_et0_yr,975.8656000000001,1.0
bio_et0_yr,978.2968000000001,1.0
bio_et0_yr,980.7280000000001,1.0
bio_et0_yr,983.1592,1.0
bio_et0_yr,985.5904,1.0
bio_et0_yr,988.0216,1.0
bio_et0_yr,990.4528,1.0
bio_et0_yr,992.884,1.0
bio_et0_yr,995.3152,1.0
bio_et0_yr,997.7464,1.0
bio_et0_yr,1000.1776,1.0
bio_et0_yr,1002.6088,1.0
bio_et0_yr,1005.0400000000001,1.0
bio_et0_yr,1007.4712000000001,1.0
bio_et0_yr,1009.9024000000001,1.0
bio_et0_yr,1012.3336,1.0
bio_et0_yr,1014.7648,1.0
bio_et0_yr,1017.196,1.0
bio_et0_yr,1019.6272,1.0
bio_et0_yr,1022.0584,1.0
bio_et0_yr,1024.4896,1.0
bio_et0_yr,1026.9208,1.0
bio_et0_yr,1029.352,1.0
