Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.59439E-12,0.000000001,0.000000007,0.998203772,0,0
5.67703E-12,0.000000003,0.000000008,0.998004191,0,0
1.95117E-11,0.000000011,0.000000028,0.997405449,0,0
4.41501E-11,0.000000028,0.000000064,0.996806706,0,0
1.41913E-10,0.00000011,0.000000204,0.995808802,0,0
2.11901E-10,0.00000026,0.000000305,0.995010478,0,0
5.05203E-10,0.000001033,0.000000727,0.992914879,0,0
8.37512E-10,0.000002503,0.000001205,0.99081928,0,0
1.9679E-9,0.000010046,0.000002832,0.985330805,0,0
3.71627E-9,0.000025234,0.000005348,0.979942122,0,0
5.94952E-9,0.000050386,0.000008562,0.974653228,0,0
8.95866E-9,0.000100135,0.000012892,0.96816685,0,0
1.6635E-8,0.000250672,0.000023939,0.956291787,0,0
2.65186E-8,0.000500988,0.000038161,0.944416725,0,0
4.20328E-8,0.001003564,0.000060486,0.92974753,0,0
8.0694E-8,0.002503888,0.000116117,0.904899711,0,0
1.3396E-7,0.005008864,0.000192758,0.880850215,0,0
2.14214E-7,0.010014247,0.00030822,0.852010777,0,0
4.14256E-7,0.025038841,0.000595963,0.803512623,0,0
6.79881E-7,0.050041558,0.000977912,0.757908392,0,0
1.16582E-6,0.100038651,0.001676282,0.703323022,0,0
2.09667E-6,0.200183244,0.003012694,0.640854206,0,0
2.89325E-6,0.300060648,0.00415491,0.600538868,0,0
3.77216E-6,0.400099181,0.005413662,0.570501946,0,0
4.54569E-6,0.500098461,0.006520184,0.546252869,0,0
5.31332E-6,0.600267016,0.007617042,0.52599541,0,0
6.04185E-6,0.70049,0.008656902,0.508332502,0,0
6.43913E-6,0.750639247,0.00922351,0.500349267,0,0
6.81473E-6,0.800383955,0.00975889,0.492864984,0,0
7.59472E-6,0.900585747,0.010869759,0.478994112,0,0
8.37662E-6,1.000078071,0.011982104,0.466520307,0,0
9.13707E-6,1.100739047,0.013062732,0.455044407,0,0
9.87427E-6,1.200491362,0.014109205,0.444566411,0,0
1.06103E-5,1.300196667,0.015152849,0.434886738,0,0
1.13047E-5,1.400849668,0.016136516,0.425706017,0,0
1.20845E-5,1.500322718,0.017240063,0.41722383,0,0
1.40135E-5,1.750117937,0.019964341,0.398163856,0,0
1.58617E-5,2.001366299,0.022567458,0.381399062,0,0
1.75696E-5,2.251639133,0.024966841,0.366530286,0,0
1.94408E-5,2.500349815,0.027588856,0.353158367,0,0
2.13636E-5,2.750638084,0.030275778,0.340884143,0,0
2.32577E-5,3.000868631,0.032915333,0.329707614,0,0
2.49792E-5,3.251439906,0.03530814,0.319329408,0,0
2.68413E-5,3.502428086,0.037889756,0.309649736,0,0
2.86879E-5,3.750264884,0.040443132,0.300768386,0,0
3.0671E-5,4.001685135,0.043177558,0.292286199,0,0
3.26382E-5,4.251642461,0.045882482,0.284402754,0,0
3.47226E-5,4.503216171,0.048740096,0.276918471,0,0
3.70099E-5,4.753660817,0.051866149,0.26993314,0,0
3.91339E-5,5.001417553,0.054759713,0.263446762,0,0
4.07166E-5,5.252712217,0.056910099,0.257159964,0,0
4.27405E-5,5.504069792,0.059652942,0.251172538,0,0
4.46505E-5,5.753553458,0.062233942,0.245484483,0,0
4.67314E-5,6.000755745,0.065037945,0.240095799,0,0
4.90115E-5,6.25426844,0.0681008,0.234806905,0,0
5.13559E-5,6.504802499,0.071239411,0.229817383,0,0
5.31034E-5,6.755013994,0.073572129,0.225027442,0,0
5.53645E-5,7.003662465,0.076581701,0.220437082,0,0
5.74651E-5,7.252501566,0.079368861,0.216046303,0,0
5.92736E-5,7.503117855,0.081761743,0.211755314,0,0
6.16372E-5,7.750631111,0.084879719,0.207663906,0,0
6.31956E-5,8.000150597,0.086929633,0.203672288,0,0
6.62645E-5,8.253988567,0.09095325,0.199780461,0,0
6.82358E-5,8.503146762,0.093528285,0.196088215,0,0
7.03568E-5,8.752188918,0.096290849,0.192495759,0,0
7.28827E-5,9.002626873,0.099569826,0.189003094,0,0
7.53663E-5,9.254834233,0.102782293,0.185610219,0,0
7.76286E-5,9.507589804,0.105698514,0.182317134,0,0
7.97226E-5,9.751489559,0.108389328,0.17922363,0,0
8.16043E-5,10.0016639,0.110800424,0.176130127,0,0
8.44369E-5,10.251039732,0.114417723,0.173136414,0,0
8.67814E-5,10.507456473,0.117400545,0.1701427,0,0
8.91054E-5,10.754388393,0.1203474,0.167348568,0,0
9.16628E-5,11.006944434,0.12357876,0.164554436,0,0
9.40934E-5,11.257999041,0.126638856,0.161860094,0,0
9.60127E-5,11.505194912,0.129047745,0.159265542,0,0
9.79682E-5,11.757622121,0.131495236,0.156670991,0,0
1.00841E-4,12.006375057,0.135078013,0.15417623,0,0
1.03691E-4,12.251741892,0.138618137,0.151781259,0,0
1.05596E-4,12.503146555,0.140976323,0.149386289,0,0
1.08079E-4,12.759426866,0.144040414,0.146991318,0.095238095,0
1.10847E-4,13.000487592,0.147442901,0.144795929,0.095238095,0
1.13562E-4,13.257818248,0.15076746,0.142500748,0.095238095,0
1.16404E-4,13.511081269,0.15423452,0.140305359,0.095238095,0
1.19001E-4,13.758592582,0.157389036,0.13820976,0.095238095,0
1.21744E-4,14.010760393,0.160708413,0.13611416,0.095238095,0
1.23209E-4,14.25554327,0.162476466,0.134118351,0.095238095,0
1.27389E-4,14.50589254,0.167498523,0.132122543,0.095238095,0
1.29962E-4,14.750731167,0.17057569,0.130226524,0.095238095,0
1.32641E-4,15.000008135,0.173766756,0.128330506,0.095238095,0
1.36405E-4,15.256325569,0.178230698,0.126434488,0.095238095,0
1.39946E-4,15.505456251,0.18240707,0.12463826,0.095238095,0
1.4302E-4,15.759973917,0.186015954,0.122842032,0.095238095,0
1.47319E-4,16.006543865,0.191036038,0.121145594,0.095238095,0
1.49462E-4,16.258694578,0.193526649,0.119449157,0.095238095,0
1.52848E-4,16.500607408,0.197447255,0.11785251,0.095238095,0
1.54915E-4,16.762336249,0.19983129,0.116156072,0.095238095,0
1.56919E-4,17.01173875,0.202134771,0.114559425,0.095238095,0
1.60854E-4,17.26536104,0.206640304,0.112962778,0.095238095,0
1.63084E-4,17.508449191,0.209182837,0.111465922,0.095238095,0
1.64982E-4,17.75445754,0.211339046,0.109969065,0.095238095,0
1.67333E-4,18.004017267,0.214003574,0.108472208,0.095238095,0
1.71456E-4,18.258272244,0.218652925,0.106975352,0.095238095,0
1.74362E-4,18.500168618,0.221913259,0.105578286,0.095238095,0
1.779E-4,18.764795257,0.225865221,0.104081429,0.095238095,0
1.81525E-4,19.016522336,0.229892389,0.102684363,0.095238095,0
1.8522E-4,19.25478115,0.233976496,0.101387087,0.095238095,0
1.898E-4,19.516881769,0.239009072,0.099990021,0.095238095,0
1.94463E-4,19.766879307,0.244098426,0.098692745,0.095238095,0
1.99365E-4,20.003534351,0.249412486,0.09749526,0.095238095,0
2.03539E-4,20.264445644,0.253906703,0.096197984,0.095238095,0
2.0709E-4,20.510718935,0.257709652,0.095000499,0.095238095,0
2.0955E-4,20.760754286,0.260333621,0.093803014,0.095238095,0
2.1297E-4,21.014188323,0.263964636,0.092605528,0.142857143,0
2.16611E-4,21.271548861,0.267811468,0.091408043,0.142857143,0
2.20287E-4,21.51178787,0.271673897,0.090310348,0.142857143,0
2.23639E-4,21.756324573,0.275178981,0.089212653,0.142857143,0
2.2533E-4,22.003179604,0.276940151,0.088114959,0.142857143,0
2.27391E-4,22.252464159,0.279082349,0.087017264,0.142857143,0
2.31701E-4,22.50552019,0.283539628,0.085919569,0.142857143,0
2.36816E-4,22.762472437,0.288793697,0.084821874,0.142857143,0
2.4304E-4,23.002603538,0.295135314,0.08382397,0.142857143,0
2.48644E-4,23.273804754,0.300796591,0.082726275,0.142857143,0
2.51767E-4,23.523811514,0.303932242,0.08172837,0.142857143,0
2.54159E-4,23.75159972,0.306323992,0.080830256,0.142857143,0
2.57158E-4,24.006810696,0.309311169,0.079832352,0.142857143,0
2.61706E-4,24.265748536,0.313817232,0.078834448,0.142857143,0
2.66683E-4,24.504140081,0.318714448,0.077936334,0.142857143,0
2.70024E-4,24.772596266,0.321982281,0.076938429,0.142857143,0
2.75477E-4,25.018018629,0.327281818,0.076040315,0.142857143,0
