Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.9406,2.1784,120,0.9602,10021,34.6437,0.1499,8.7350,51.9157,2.1105,2.2769,0.1682,43.5393,0.1808,0.0000,46.6509,5.2683,4.0761,0.2845,0.6162,1.9365,1.9406,0.9460,1.8511,1.8705,1.9351,0.3182,0.0762,0.1835,0.3243,0.0711,0.0109,0.0000,7.2717,0.0807,1.0000,0.0120,0.4665,0.0000,5.0000,0.0548,0.2634,0.0000,10.0000,0.1108,0.1761,0.0000,12.5879,0.1418,0.1486,0.0000,20.7608,0.2603,0.0938,0.0952,20.4693,0.2574,0.0952,0.0952,12.5879,0.1418,0.1486,0.0000,5.1278,0.0558,0.2603,0.0000,13.1339,0.1483,0.1436,0.0952
Gustavia_santanderiensis_1,21,1.8794,2.1358,120,0.9581,10021,38.0718,0.3032,12.8163,42.6577,2.0627,4.0332,0.0550,44.0744,0.3726,0.0000,42.4607,5.3755,7.5750,0.1417,0.6292,1.8562,1.8793,1.1096,1.7746,1.7604,1.8779,0.3756,0.1413,0.1853,0.2422,0.1111,0.0422,0.0000,7.3331,0.0862,1.0000,0.0120,0.4616,0.0000,5.0000,0.0608,0.2520,0.0000,10.0000,0.1264,0.1713,0.0476,8.1661,0.1040,0.1942,0.0000,25.0215,0.3710,0.0782,0.0952,20.6658,0.2874,0.0952,0.0952,18.3311,0.2466,0.1066,0.0476,4.9403,0.0592,0.2535,0.0000,11.8322,0.1516,0.1527,0.0476
Gustavia_santanderiensis_2,21,2.2027,2.4618,120,0.9703,10021,35.2051,0.1832,0.3714,59.4337,2.3421,2.3176,0.1469,43.2187,0.0953,0.4263,48.3656,5.4869,2.2861,0.1213,0.6932,2.1944,2.1866,0.9156,2.0880,2.1190,2.1954,0.3660,0.0654,0.1239,0.3448,0.0633,0.0093,0.0001,7.0097,0.0619,1.0000,0.0100,0.3843,0.0000,5.0000,0.0501,0.2074,0.0000,10.0000,0.1080,0.1350,0.0476,9.7411,0.1042,0.1376,0.0000,22.0018,0.2874,0.0666,0.0952,15.3484,0.1779,0.0952,0.0952,9.7411,0.1042,0.1376,0.0000,4.3537,0.0432,0.2223,0.0000,12.9555,0.1424,0.1105,0.0952
Gustavia_santanderiensis_3,21,2.5719,2.9394,140,0.9806,10021,34.5322,0.7534,15.2874,38.1549,4.4907,6.4172,0.3643,38.8602,0.8529,0.0000,40.4619,8.2169,11.2318,0.3763,0.8276,2.5181,2.5705,1.4506,2.2998,2.3097,2.5538,0.3929,0.1493,0.2831,0.3638,0.1169,0.0730,0.0018,6.6405,0.0428,1.0000,0.0079,0.2853,0.0000,5.0000,0.0460,0.1431,0.0000,10.0000,0.1080,0.0918,0.0000,14.1812,0.1673,0.0697,0.0000,17.6215,0.2258,0.0575,0.0476,17.6215,0.2258,0.0575,0.0476,14.1812,0.1673,0.0697,0.0000,3.3217,0.0301,0.1769,0.0000,12.7090,0.1456,0.0763,0.0000
Gustavia_santanderiensis_4,21,1.5869,1.7316,120,0.9486,10020,39.3051,0.1546,1.7228,58.1067,0.3295,0.1609,0.2204,48.0110,0.0000,1.8211,48.0949,1.1346,0.3642,0.5740,0.4438,1.5869,1.5277,0.6483,1.5743,1.5821,1.5813,0.3533,0.0340,0.0287,0.1980,0.0577,0.0000,0.0005,7.6255,0.1170,1.0000,0.0170,0.5068,0.0000,5.0000,0.0802,0.3059,0.0000,10.0000,0.1516,0.2212,0.0000,27.2715,0.3945,0.1015,0.0000,27.2715,0.3945,0.1015,0.0000,27.2960,0.3946,0.1015,0.1905,27.2715,0.3945,0.1015,0.0000,4.8949,0.0786,0.3086,0.0000,11.4524,0.1750,0.2045,0.0000
Gustavia_santanderiensis_5,21,2.2238,2.5352,120,0.9673,10020,33.5292,1.0015,20.2619,36.3397,5.9668,2.9008,0.0000,39.8304,0.0000,0.0000,46.3333,9.5236,4.3128,0.0000,0.8395,2.2162,2.2097,1.1703,2.0168,2.0971,2.2238,0.2923,0.0569,0.3236,0.3942,0.0159,0.0000,0.0076,6.9885,0.0602,1.0000,0.0085,0.4519,0.0000,5.0000,0.0404,0.2418,0.0000,10.0000,0.0866,0.1541,0.0000,11.1732,0.0984,0.1410,0.0000,17.1596,0.1699,0.0944,0.0952,17.0402,0.1676,0.0952,0.0952,11.1732,0.0984,0.1410,0.0000,5.2347,0.0423,0.2358,0.0000,15.0244,0.1428,0.1082,0.0952
Gustavia_santanderiensis_6,21,1.6793,1.8801,120,0.9527,10020,38.3800,0.0153,9.9661,45.1644,3.5185,2.9556,0.0000,45.1873,0.0000,0.0550,43.3479,7.1058,4.3039,0.0000,0.5080,1.6784,1.6768,0.9234,1.5587,1.5802,1.6793,0.3374,0.0610,0.1592,0.2215,0.0425,0.0041,0.0042,7.5331,0.1054,1.0000,0.0154,0.5516,0.0000,5.0000,0.0600,0.3272,0.0000,10.0000,0.1209,0.2244,0.0000,18.9604,0.2365,0.1354,0.0000,27.0300,0.3618,0.0924,0.0952,26.3679,0.3525,0.0952,0.0952,18.9604,0.2365,0.1354,0.0000,5.9487,0.0719,0.3012,0.0000,13.0153,0.1579,0.1864,0.0000
Gustavia_santanderiensis_7,21,1.7781,1.9584,120,0.9543,10019,38.7971,0.6123,0.0105,57.2822,2.2481,1.0498,0.0000,46.8777,0.0000,0.0748,46.3610,5.2107,1.4758,0.0000,0.5167,1.7781,1.7780,0.8436,1.7128,1.7372,1.7781,0.3745,0.0209,0.0851,0.2343,0.0231,0.0000,0.0183,7.4341,0.0957,1.0000,0.0136,0.5032,0.0000,5.0000,0.0635,0.2926,0.0000,10.0000,0.1225,0.2032,0.0000,21.4253,0.2781,0.1104,0.0000,21.4253,0.2781,0.1104,0.0000,21.4253,0.2781,0.1104,0.0000,21.4253,0.2781,0.1104,0.0000,5.1600,0.0653,0.2887,0.0000,13.1125,0.1612,0.1689,0.0000
Gustavia_santanderiensis_8,21,2.0997,2.3134,120,0.9705,10016,34.0793,0.6613,5.3390,54.9352,3.5077,1.3491,0.1285,44.1233,0.0000,0.0000,48.6255,5.4888,1.2746,0.4879,0.6415,2.0997,2.0997,1.0157,1.9818,2.0546,2.0953,0.3390,0.0252,0.1859,0.3426,0.0168,0.0000,0.0059,7.1122,0.0686,1.0000,0.0101,0.4427,0.0000,5.0000,0.0487,0.2462,0.0000,10.0000,0.0997,0.1633,0.0000,15.5733,0.1639,0.1142,0.0000,19.0656,0.2089,0.0933,0.0952,18.7073,0.2042,0.0952,0.0952,15.5733,0.1639,0.1142,0.0000,4.9106,0.0478,0.2485,0.0000,14.4438,0.1518,0.1224,0.0000
Gustavia_santanderiensis_9,21,1.9830,2.1793,100,0.9653,10019,39.0367,0.0000,0.0000,58.1071,1.5667,1.2240,0.0655,49.2032,0.0000,0.0000,44.9663,4.0842,1.3357,0.4106,0.5586,1.9830,1.9830,1.0057,1.9221,1.9438,1.9782,0.4158,0.0550,0.1186,0.2638,0.0600,0.0020,0.0026,7.2293,0.0775,1.0000,0.0116,0.4399,0.0000,5.0000,0.0561,0.2470,0.0000,10.0000,0.1134,0.1658,0.0000,13.9166,0.1641,0.1290,0.0000,28.6042,0.3927,0.0622,0.0952,19.4925,0.2499,0.0952,0.0952,13.9166,0.1641,0.1290,0.0000,4.7446,0.0535,0.2533,0.0000,12.8574,0.1491,0.1376,0.0000
