X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.591222,6.190222,train,0.0018512442663061077,54.508281704417406,0.7903445473471699
-74.909722,5.559361,train,0.007830368200111992,88.58982157178569,0.9986506772213611
-74.737583,5.667167,train,5.140847595545922E-4,26.961095691619832,0.35198601731337975
-74.351933,6.471417,train,0.002830354526079753,67.90111100589864,0.9082395627928216
-74.777222,5.689444,train,0.0016928594972283556,52.04389248686279,0.7603622263657481
-74.909722,5.559361,train,0.007830368200111992,88.58982157178569,0.9986506772213611
-74.368611,6.438056,train,6.823251717507783E-4,33.05550136446941,0.4377582372527973
-74.777528,5.638694,train,0.001966415518887464,56.2759324242478,0.8097629509439118
-74.473444,6.262694,train,0.002569342953106335,64.7007033988669,0.885628445901637
-74.737583,5.667167,train,5.140847595545922E-4,26.961095691619832,0.35198601731337975
-74.368611,6.438056,train,6.823251717507783E-4,33.05550136446941,0.4377582372527973
-74.351933,6.471417,train,0.002830354526079753,67.90111100589864,0.9082395627928216
-74.777222,5.689444,train,0.0016928594972283556,52.04389248686279,0.7603622263657481
-74.854444,5.322778,train,0.0011481748871468372,43.01027356684604,0.6205225652861222
-74.909722,5.559361,train,0.007830368200111992,88.58982157178569,0.9986506772213611
-74.76675,5.676306,train,9.92787362334622E-4,40.47149470651775,0.5673501479687004
-74.406389,6.273889,train,0.0017834363242889757,53.59810532991142,0.7779973073481045
-74.737583,5.667167,train,5.140847595545922E-4,26.961095691619832,0.35198601731337975
-74.859417,5.545194,train,0.002314586059889118,60.04441063652214,0.8581960961091462
-74.737889,5.684417,train,2.8800979323082454E-4,18.658342804940766,0.21577186836739293
-74.885833,5.407444,train,0.003234789198010276,70.64705130109964,0.9347730055600119
