Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.65611E-12,0.000000001,0.00000001,0.998702724,0,0
7.1006E-12,0.000000003,0.000000015,0.998403353,0,0
1.73345E-11,0.00000001,0.000000037,0.99780461,0,0
3.5651E-11,0.000000027,0.000000077,0.997205868,0,0
7.17354E-11,0.000000107,0.000000155,0.995709011,0,0
1.23047E-10,0.000000258,0.000000266,0.994112364,0,0
2.857E-10,0.000001006,0.000000618,0.990519908,0,0
6.17849E-10,0.000002552,0.000001336,0.986927452,0,0
1.40323E-9,0.000010096,0.000003034,0.979443169,0,0
2.40542E-9,0.000025007,0.0000052,0.971659515,0,0
3.94382E-9,0.000050339,0.000008526,0.963277118,0,0
6.89647E-9,0.00010041,0.00001491,0.953797026,0,0
1.39077E-8,0.000250682,0.000030067,0.938928251,0,0
2.39967E-8,0.000500793,0.000051878,0.925456541,0,0
4.3519E-8,0.001002496,0.000094082,0.910188604,0,0
9.01573E-8,0.002506641,0.000194897,0.886737851,0,0
1.63943E-7,0.005011029,0.000354375,0.866679972,0,0
2.78357E-7,0.010024618,0.000601615,0.843927752,0,0
5.98244E-7,0.025004135,0.001292542,0.808601936,0,0
9.86736E-7,0.050088612,0.002131007,0.776968366,0,0
1.60029E-6,0.100002727,0.003453774,0.738349466,0,0
2.57124E-6,0.200099288,0.005543477,0.690549845,0,0
3.39958E-6,0.300030987,0.007322812,0.656920467,0,0
4.1879E-6,0.400147331,0.009013196,0.630476,0,0
4.94027E-6,0.500333151,0.010623814,0.608522104,0,0
5.6388E-6,0.600082955,0.012116829,0.58966171,0,0
6.2729E-6,0.700093347,0.013470186,0.572896916,0,0
6.66172E-6,0.750584376,0.014299142,0.565113262,0,0
7.01088E-6,0.800388454,0.015042932,0.55782856,0,0
7.69029E-6,0.900592451,0.016488616,0.54425706,0,0
8.32036E-6,1.000065504,0.01782743,0.531883046,0,0
9.08319E-6,1.10007554,0.019445906,0.520407145,0,0
9.79472E-6,1.200210325,0.020953134,0.509829358,0,0
1.03609E-5,1.300942226,0.0221507,0.499850314,0,0
1.1014E-5,1.400621424,0.023530461,0.490569803,0,0
1.16473E-5,1.500385256,0.024866644,0.481788245,0,0
1.35097E-5,1.750383018,0.028784944,0.461929947,0,0
1.52645E-5,2.000243502,0.03246264,0.444566411,0,0
1.71162E-5,2.25102039,0.036328236,0.429098892,0,0
1.91611E-5,2.501362645,0.040579148,0.415327812,0,0
2.0857E-5,2.752016142,0.044090365,0.402854007,0,0
