Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,2.0036,2.3191,240,0.9727,10019,53.4773,0.0000,6.7610,18.1721,19.4477,2.0632,0.0788,61.3564,0.0000,0.2997,38.1727,0.0000,0.1712,0.0000,0.7790,2.0036,1.9943,1.2685,2.0036,1.9846,2.0024,0.5851,0.1809,0.0916,0.1687,0.1845,0.0443,0.0016,7.2081,0.0769,1.0000,0.0133,0.3654,0.0000,5.0000,0.0689,0.2011,0.0000,10.0000,0.1452,0.1388,0.0000,25.7839,0.4068,0.0681,0.0000,36.6210,0.5574,0.0456,0.0952,30.1543,0.4683,0.0578,0.0476,25.7839,0.4068,0.0681,0.0000,3.9231,0.0525,0.2248,0.0000,10.5032,0.1549,0.1347,0.0000
Gustavia_santanderiensis_1,21,2.0297,2.5516,220,0.9718,10021,48.4137,1.1643,19.5289,16.4774,10.6762,3.5633,0.1762,43.1490,0.0000,0.0000,46.0586,4.7531,5.8493,0.1900,0.9818,2.0208,2.0297,1.2726,1.8851,1.9273,2.0277,0.3094,0.0901,0.3277,0.3703,0.0235,0.0000,0.0058,7.1830,0.0742,1.0000,0.0113,0.4681,0.0000,5.0000,0.0493,0.2698,0.0000,10.0000,0.0989,0.1809,0.0000,12.8375,0.1297,0.1500,0.0000,25.6623,0.3004,0.0754,0.0952,22.7622,0.2575,0.0873,0.0952,22.7622,0.2575,0.0873,0.0476,5.2504,0.0512,0.2635,0.0000,15.0603,0.1601,0.1313,0.0476
Gustavia_santanderiensis_2,21,1.8440,2.2132,240,0.9702,10020,53.8980,1.0827,17.0934,19.6586,4.2276,3.8669,0.1727,51.0719,0.0000,0.0000,44.7068,2.3452,1.5591,0.3171,0.7680,1.8395,1.8440,1.1637,1.8007,1.8004,1.8403,0.3754,0.1526,0.2254,0.2734,0.0883,0.0155,0.0000,7.3683,0.0898,1.0000,0.0146,0.4698,0.0000,5.0000,0.0620,0.2780,0.0000,10.0000,0.1189,0.1912,0.0000,19.8567,0.2504,0.1101,0.0000,33.6255,0.4708,0.0602,0.0476,33.6255,0.4708,0.0602,0.0476,33.6255,0.4708,0.0602,0.0476,4.9393,0.0613,0.2796,0.0000,13.0967,0.1591,0.1581,0.0000
Gustavia_santanderiensis_3,21,1.9164,2.2500,220,0.9699,10020,57.6484,0.2302,15.7789,16.2674,8.2963,1.7789,0.0000,56.0897,0.0000,0.0000,43.7812,0.1041,0.0250,0.0000,0.8512,1.9163,1.9164,1.2582,1.9149,1.9098,1.9164,0.4703,0.1206,0.1975,0.2383,0.0783,0.0017,0.0120,7.2957,0.0838,1.0000,0.0133,0.4216,0.0000,5.0000,0.0652,0.2423,0.0000,10.0000,0.1292,0.1671,0.0000,14.2850,0.1888,0.1302,0.0000,35.0456,0.5024,0.0533,0.0952,31.1426,0.4493,0.0621,0.0476,31.1426,0.4493,0.0621,0.0476,4.3997,0.0571,0.2565,0.0000,12.1279,0.1586,0.1470,0.0000
Gustavia_santanderiensis_4,21,1.8437,2.2595,300,0.9714,10020,51.5139,1.0339,16.2975,16.7884,10.4732,3.2546,0.6385,49.3338,0.0177,0.0129,47.1169,2.2536,0.8340,0.4310,0.7724,1.8424,1.8437,1.0854,1.8052,1.8250,1.8284,0.3353,0.1328,0.2214,0.3131,0.0620,0.0050,0.0002,7.3686,0.0897,1.0000,0.0151,0.4684,0.0000,5.0000,0.0628,0.2831,0.0000,10.0000,0.1166,0.1964,0.0000,23.1565,0.2911,0.0961,0.0000,30.2673,0.4032,0.0695,0.0952,30.0398,0.4017,0.0702,0.0476,23.1565,0.2911,0.0961,0.0000,4.8722,0.0613,0.2863,0.0000,13.5548,0.1614,0.1582,0.0000
Gustavia_santanderiensis_5,21,1.5554,1.8837,200,0.9507,10020,51.0766,1.6587,8.6434,28.1397,10.0720,0.4095,0.0000,49.5209,0.0000,0.2242,49.1145,0.8632,0.2773,0.0000,0.6099,1.5554,1.5311,0.7941,1.5454,1.5495,1.5554,0.3226,0.0418,0.0892,0.2394,0.0350,0.0001,0.0023,7.6568,0.1213,1.0000,0.0184,0.5114,0.0000,5.0000,0.0820,0.3179,0.0000,10.0000,0.1554,0.2315,0.0000,16.3776,0.2366,0.1692,0.0000,29.5257,0.4202,0.0977,0.0952,29.5257,0.4202,0.0977,0.0952,16.3776,0.2366,0.1692,0.0000,4.9472,0.0810,0.3193,0.0000,11.7767,0.1788,0.2110,0.0000
Gustavia_santanderiensis_6,21,1.6238,1.9407,220,0.9561,10021,53.6507,0.0000,9.2223,25.8131,11.2387,0.0752,0.0000,52.0852,0.0000,1.0139,46.8761,0.0248,0.0000,0.0000,0.6974,1.6238,1.6118,0.8400,1.6230,1.6222,1.6238,0.3716,0.0705,0.0924,0.2275,0.0484,0.0000,0.0089,7.5888,0.1133,1.0000,0.0175,0.4990,0.0000,5.0000,0.0778,0.3040,0.0000,10.0000,0.1462,0.2180,0.0000,24.2227,0.3504,0.1119,0.0000,24.2227,0.3504,0.1119,0.0000,24.2227,0.3504,0.1119,0.1905,24.2227,0.3504,0.1119,0.0000,4.8635,0.0758,0.3074,0.0000,11.8264,0.1702,0.1971,0.0000
Gustavia_santanderiensis_7,21,1.9407,2.3715,260,0.9710,10020,54.7684,3.0743,17.9927,15.7798,7.0756,1.3092,0.0000,51.2303,0.0000,0.0000,45.5014,2.2832,0.9851,0.0000,0.8624,1.9407,1.9407,1.3162,1.8935,1.9028,1.9407,0.4021,0.0752,0.2489,0.2860,0.0328,0.0000,0.0144,7.2717,0.0812,1.0000,0.0130,0.4474,0.0000,5.0000,0.0590,0.2608,0.0000,10.0000,0.1132,0.1783,0.0000,17.3977,0.2112,0.1150,0.0000,27.3070,0.3619,0.0719,0.0952,21.1646,0.2721,0.0952,0.0952,17.3977,0.2112,0.1150,0.0000,4.6601,0.0557,0.2691,0.0000,13.4600,0.1545,0.1435,0.0000
Gustavia_santanderiensis_8,21,1.5338,1.8654,220,0.9518,10021,59.6696,0.2844,22.2547,12.3975,3.4697,0.9641,0.9600,52.6378,0.0000,0.2235,43.1645,0.5833,0.6474,2.7434,0.8334,1.5311,1.5323,1.1885,1.5314,1.5197,1.5182,0.3837,0.1290,0.2270,0.1876,0.0620,0.0017,0.0192,7.6788,0.1237,1.0000,0.0178,0.5319,0.0000,5.0000,0.0801,0.3233,0.0000,10.0000,0.1508,0.2324,0.0000,22.4993,0.3308,0.1276,0.0000,22.4993,0.3308,0.1276,0.0000,22.4993,0.3308,0.1276,0.1905,22.4993,0.3308,0.1276,0.0000,5.1841,0.0826,0.3187,0.0000,11.3596,0.1691,0.2156,0.0000
Gustavia_santanderiensis_9,21,1.6656,1.9490,180,0.9589,10021,58.8194,0.3537,12.9914,20.0272,6.7907,1.0176,0.0000,54.5773,0.0189,0.0000,45.3902,0.0000,0.0137,0.0000,0.6991,1.6654,1.6656,0.9914,1.6656,1.6620,1.6656,0.3891,0.1173,0.1476,0.2284,0.0831,0.0016,0.0016,7.5469,0.1083,1.0000,0.0170,0.4848,0.0000,5.0000,0.0753,0.2940,0.0000,10.0000,0.1433,0.2098,0.0000,18.3942,0.2548,0.1369,0.0000,36.4236,0.5256,0.0657,0.0952,26.7988,0.3853,0.0952,0.0952,18.3942,0.2548,0.1369,0.0000,4.8090,0.0727,0.2988,0.0000,11.8788,0.1709,0.1890,0.0000
