Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.9623,2.2614,120,0.9661,10021,36.6991,0.0668,6.4588,50.3113,2.5555,3.5825,0.3260,49.9783,0.0000,0.0418,36.2597,7.7623,5.9387,0.0193,0.5807,1.9591,1.9610,0.8881,1.8406,1.8598,1.9460,0.3606,0.0984,0.1233,0.2737,0.0753,0.0197,0.0000,7.2501,0.0791,1.0000,0.0121,0.4610,0.0000,5.0000,0.0531,0.2545,0.0000,10.0000,0.1131,0.1694,0.0000,10.4696,0.1189,0.1641,0.0000,31.1155,0.4354,0.0565,0.0952,19.9304,0.2541,0.0952,0.0952,31.1155,0.4354,0.0565,0.0952,5.1257,0.0546,0.2514,0.0000,12.8941,0.1492,0.1405,0.0476
Gustavia_santanderiensis_1,21,1.9771,2.2370,120,0.9679,10021,40.3455,0.0013,5.7920,47.2145,2.2786,4.0558,0.3122,55.0868,0.0000,0.0411,33.1693,6.6846,4.8545,0.1637,0.5086,1.9771,1.9752,1.0151,1.8641,1.8653,1.9630,0.4633,0.1000,0.0879,0.1997,0.0822,0.0313,0.0004,7.2356,0.0781,1.0000,0.0120,0.4384,0.0000,5.0000,0.0544,0.2386,0.0000,10.0000,0.1218,0.1581,0.0000,10.6392,0.1317,0.1516,0.0000,29.1180,0.4300,0.0602,0.0952,28.7960,0.4236,0.0610,0.0476,28.7960,0.4236,0.0610,0.0476,4.9407,0.0539,0.2401,0.0000,12.0738,0.1493,0.1384,0.0476
Gustavia_santanderiensis_2,21,1.6975,1.9214,120,0.9548,10021,40.6470,0.0000,18.1306,39.3687,0.3680,1.3698,0.1158,55.5511,0.0000,0.0286,37.9708,3.7780,2.6715,0.0000,0.5357,1.6975,1.6973,0.9919,1.6700,1.6702,1.6942,0.3525,0.0968,0.1854,0.2371,0.0828,0.0067,0.0000,7.5150,0.1040,1.0000,0.0153,0.5189,0.0000,5.0000,0.0635,0.3081,0.0000,10.0000,0.1273,0.2123,0.0000,17.5718,0.2314,0.1391,0.0000,21.3541,0.2858,0.1158,0.0476,21.3541,0.2858,0.1158,0.1429,17.5718,0.2314,0.1391,0.0000,5.6062,0.0706,0.2921,0.0000,12.4221,0.1567,0.1831,0.0000
Gustavia_santanderiensis_3,21,2.0340,2.3267,120,0.9690,10021,33.7430,0.0000,5.5085,57.2425,1.3195,0.5837,1.6029,51.0056,0.0000,0.0385,42.6616,4.6488,0.9084,0.7371,0.6337,2.0340,2.0310,0.8313,1.9763,2.0127,1.9923,0.3027,0.0705,0.1486,0.3661,0.0750,0.0039,0.0005,7.1786,0.0738,1.0000,0.0122,0.4359,0.0000,5.0000,0.0519,0.2478,0.0000,10.0000,0.1096,0.1651,0.0000,17.6485,0.2050,0.1044,0.0000,26.1015,0.3317,0.0681,0.0952,19.3843,0.2295,0.0952,0.0952,17.6485,0.2050,0.1044,0.0000,4.9067,0.0510,0.2502,0.0000,13.6645,0.1562,0.1308,0.0000
Gustavia_santanderiensis_4,21,2.1761,2.4649,140,0.9751,10021,38.4312,0.0013,13.1834,41.9399,2.8885,3.3775,0.1781,51.5936,0.0000,0.0000,35.0733,7.2039,5.6832,0.4460,0.6161,2.1760,2.1761,1.1365,2.0451,2.0683,2.1614,0.4077,0.0869,0.1849,0.2949,0.0658,0.0178,0.0001,7.0364,0.0639,1.0000,0.0097,0.4131,0.0000,5.0000,0.0478,0.2153,0.0000,10.0000,0.1067,0.1395,0.0000,13.5859,0.1553,0.1098,0.0000,25.6538,0.3438,0.0581,0.0952,25.1448,0.3344,0.0595,0.0476,25.1448,0.3344,0.0595,0.0476,4.7137,0.0443,0.2223,0.0000,13.0548,0.1458,0.1135,0.0000
Gustavia_santanderiensis_5,21,1.8037,2.1234,120,0.9601,10021,35.5762,0.3627,27.7744,28.9905,3.8830,3.4132,0.0000,48.3144,0.0000,1.1492,33.8314,10.1438,6.5612,0.0000,0.6440,1.8035,1.7560,1.1103,1.6472,1.6830,1.8037,0.2903,0.0873,0.3104,0.2710,0.0363,0.0040,0.0030,7.4088,0.0933,1.0000,0.0127,0.5663,0.0000,5.0000,0.0502,0.3323,0.0000,10.0000,0.1004,0.2204,0.0000,14.5744,0.1551,0.1641,0.0000,28.0502,0.3426,0.0808,0.0952,24.6848,0.2942,0.0952,0.0952,14.5744,0.1551,0.1641,0.0000,6.5759,0.0637,0.2881,0.0000,14.5132,0.1547,0.1647,0.0000
Gustavia_santanderiensis_6,21,1.8118,2.0200,120,0.9612,10021,39.8711,0.4848,6.6304,50.8019,1.1907,0.8878,0.1332,55.6556,0.0000,0.0000,38.6468,4.5732,1.1244,0.0000,0.4534,1.8118,1.8080,0.8706,1.7644,1.7905,1.7929,0.3778,0.0520,0.1042,0.2422,0.0559,0.0007,0.0000,7.4006,0.0926,1.0000,0.0143,0.4809,0.0000,5.0000,0.0610,0.2822,0.0000,10.0000,0.1239,0.1940,0.0000,16.1157,0.2048,0.1361,0.0000,34.5544,0.4888,0.0584,0.0952,23.3889,0.3107,0.0952,0.0952,16.1157,0.2048,0.1361,0.0000,5.2058,0.0632,0.2770,0.0000,12.8332,0.1573,0.1633,0.0000
Gustavia_santanderiensis_7,21,2.2201,2.4227,120,0.9752,10021,42.7758,0.0000,2.4456,51.4381,0.4145,2.2722,0.6537,61.5064,0.0000,0.8589,33.5869,2.5212,1.5267,0.0000,0.5666,2.2201,2.1689,1.0951,2.1825,2.1795,2.1992,0.5839,0.0934,0.0431,0.1896,0.1053,0.0226,0.0025,6.9923,0.0615,1.0000,0.0112,0.3345,0.0000,5.0000,0.0593,0.1754,0.0000,10.0000,0.1350,0.1185,0.0000,29.6801,0.4413,0.0475,0.0000,30.6635,0.4568,0.0457,0.0952,29.6801,0.4413,0.0475,0.0000,29.6801,0.4413,0.0475,0.0000,3.7806,0.0425,0.2014,0.0000,11.4538,0.1581,0.1086,0.0000
Gustavia_santanderiensis_8,21,1.7894,2.0981,120,0.9609,10021,40.4849,0.3076,11.5347,40.5000,3.2883,3.8292,0.0552,51.5872,0.0000,0.0000,35.2133,7.2465,5.9418,0.0112,0.4953,1.7894,1.7894,0.9185,1.6720,1.6836,1.7817,0.3649,0.0794,0.1317,0.2245,0.0575,0.0143,0.0005,7.4231,0.0944,1.0000,0.0140,0.5135,0.0000,5.0000,0.0551,0.2984,0.0000,10.0000,0.1158,0.2000,0.0000,14.3936,0.1748,0.1526,0.0000,32.3233,0.4574,0.0647,0.0952,23.5865,0.3090,0.0952,0.0952,14.3936,0.1748,0.1526,0.0000,5.8195,0.0646,0.2760,0.0000,12.8460,0.1524,0.1670,0.0000
Gustavia_santanderiensis_9,21,1.9188,2.1926,120,0.9611,10021,38.5816,0.0077,18.6884,37.1792,0.8440,4.4243,0.2746,53.2819,0.0000,0.0923,34.6759,6.7765,5.1734,0.0000,0.5882,1.9184,1.9156,1.1782,1.8366,1.8234,1.9104,0.3719,0.1208,0.2294,0.2593,0.1104,0.0375,0.0000,7.2936,0.0826,1.0000,0.0120,0.4758,0.0000,5.0000,0.0534,0.2619,0.0000,10.0000,0.1170,0.1744,0.0476,9.4421,0.1096,0.1813,0.0000,19.8412,0.2552,0.0990,0.0476,19.8613,0.2558,0.0990,0.1429,19.8412,0.2552,0.0990,0.0476,5.2660,0.0569,0.2552,0.0000,12.6767,0.1508,0.1467,0.0476
