Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.76993E-11,0.000000002,0.000000036,0.999401257,0,0
2.07135E-11,0.000000004,0.000000043,0.999301467,0,0
3.34628E-11,0.00000001,0.000000069,0.999101886,0,0
5.77663E-11,0.000000029,0.000000119,0.998702724,0,0
1.58782E-10,0.000000107,0.000000327,0.998004191,0,0
3.23482E-10,0.00000028,0.000000666,0.997305658,0,0
7.42426E-10,0.000001071,0.000001529,0.995908592,0,0
1.38715E-9,0.000002578,0.000002857,0.994511526,0,0
3.58299E-9,0.000010336,0.00000738,0.991418022,0,0
5.66595E-9,0.000025267,0.000011671,0.988224728,0,0
8.45216E-9,0.000050232,0.00001741,0.984732063,0,0
1.27554E-8,0.00010073,0.000026273,0.980041912,0,0
2.13659E-8,0.000251305,0.000044009,0.971160563,0,0
3.58995E-8,0.000503511,0.000073943,0.962279214,0,0
5.48236E-8,0.001003558,0.00011292,0.951402056,0,0
9.45339E-8,0.002506506,0.000194702,0.930845225,0,0
1.56857E-7,0.005011444,0.000323042,0.910687556,0,0
2.62465E-7,0.010011008,0.000540481,0.886438479,0,0
5.07373E-7,0.025029791,0.001044542,0.84582377,0,0
8.34498E-7,0.050028137,0.001717425,0.808502145,0,0
1.3805E-6,0.100107095,0.002839527,0.762997705,0,0
2.25878E-6,0.200036809,0.004641826,0.707713801,0,0
3.11279E-6,0.300100933,0.006391223,0.670192596,0,0
3.84907E-6,0.400100989,0.007896971,0.641552739,0,0
4.61267E-6,0.500292177,0.009456199,0.617802615,0,0
5.27122E-6,0.600392912,0.010798942,0.597545155,0,0
5.94359E-6,0.700476965,0.012167979,0.579782457,0,0
6.29761E-6,0.750164794,0.012888058,0.571699431,0,0
6.64985E-6,0.800164705,0.013603992,0.564015567,0,0
7.38935E-6,0.900259937,0.015105367,0.549745534,0,0
8.04484E-6,1.000412767,0.016434243,0.536772777,0,0
8.75249E-6,1.100342151,0.017866877,0.524897715,0,0
9.45085E-6,1.200313761,0.019278643,0.514020557,0,0
1.00595E-5,1.300789586,0.020507317,0.503742142,0,0
1.07273E-5,1.400852748,0.021853761,0.494162259,0,0
1.14759E-5,1.501038708,0.023360828,0.48518112,0,0
1.31753E-5,1.750383882,0.026773567,0.46492366,0,0
1.47231E-5,2.000001911,0.029871488,0.447061172,0,0
1.63414E-5,2.251065003,0.033099958,0.430994911,0,0
1.79151E-5,2.50089368,0.036229103,0.416425506,0,0
1.98671E-5,2.750426348,0.040096326,0.403253168,0,0
2.17448E-5,3.000239248,0.043801812,0.391278316,0,0
2.36648E-5,3.25150382,0.047575858,0.380201577,0,0
2.57359E-5,3.501633058,0.051630298,0.370122742,0,0
2.73918E-5,3.751983575,0.054859608,0.360742441,0,0
2.8974E-5,4.000321366,0.057934752,0.351960882,0,0
3.08201E-5,4.251288092,0.061510205,0.343578485,0,0
3.21425E-5,4.500199657,0.064063159,0.33569504,0,0
3.40422E-5,4.750971315,0.067718303,0.328110967,0,0
3.60202E-5,5.00004417,0.07150902,0.321025846,0,0
3.78367E-5,5.251093588,0.074976596,0.314240096,0,0
3.97286E-5,5.502478814,0.078574246,0.307753717,0,0
4.15232E-5,5.750549343,0.081974072,0.3016665,0,0
4.33085E-5,6.00101972,0.085343703,0.295778864,0,0
4.50577E-5,6.252980242,0.088633385,0.290090809,0,0
4.72062E-5,6.502378193,0.092657738,0.284702126,0,0
4.95648E-5,6.753080033,0.097055103,0.279513023,0,0
5.11709E-5,7.004904477,0.100037263,0.274523501,0,0
5.2776E-5,7.254481657,0.103007835,0.26973356,0,0
5.46501E-5,7.501414014,0.106463744,0.265143199,0,0
5.63554E-5,7.751306059,0.109596969,0.260652629,0,0
5.81686E-5,8.003241895,0.112916159,0.25626185,0,0
6.04883E-5,8.251874905,0.117144764,0.252070652,0,0
6.28553E-5,8.504899903,0.121438739,0.247979244,0,0
