Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.6920,2.0681,220,0.9610,10021,47.9547,0.2322,12.9564,23.5452,11.2546,4.0287,0.0282,55.1911,0.2336,0.0000,37.5683,3.0561,3.8902,0.0607,0.7175,1.6886,1.6894,1.0406,1.6632,1.6430,1.6913,0.3603,0.1161,0.0713,0.2221,0.1258,0.0446,0.0005,7.5206,0.1048,1.0000,0.0152,0.4920,0.0000,5.0000,0.0696,0.2878,0.0000,10.0000,0.1383,0.1990,0.0000,16.8043,0.2448,0.1375,0.0000,35.9663,0.5511,0.0625,0.0952,25.0818,0.3718,0.0952,0.0952,16.8043,0.2448,0.1375,0.0000,5.1411,0.0710,0.2843,0.0000,11.2964,0.1574,0.1841,0.0000
Gustavia_santanderiensis_1,21,2.1668,2.6736,180,0.9791,10021,50.3846,0.9199,14.1804,21.9475,9.6641,2.9035,0.0000,51.9727,0.0804,0.0372,40.7001,4.1634,3.0463,0.0000,0.8892,2.1662,2.1648,1.2169,2.0952,2.1051,2.1668,0.3762,0.0758,0.1278,0.3332,0.0644,0.0073,0.0000,7.0455,0.0653,1.0000,0.0103,0.3905,0.0000,5.0000,0.0531,0.2124,0.0000,10.0000,0.1135,0.1421,0.0000,22.2241,0.2891,0.0741,0.0000,27.0934,0.3557,0.0598,0.0952,22.5540,0.2936,0.0730,0.0952,22.2241,0.2891,0.0741,0.0000,4.3453,0.0447,0.2274,0.0000,13.5851,0.1629,0.1145,0.0000
Gustavia_santanderiensis_2,21,1.7408,2.1040,140,0.9644,10021,59.2220,0.6918,11.2247,23.5829,4.4491,0.8295,0.0000,56.7691,0.0000,0.0000,39.7353,2.3280,1.1676,0.0000,0.6850,1.7408,1.7345,0.9764,1.7126,1.7182,1.7408,0.3911,0.0543,0.0543,0.2193,0.0501,0.0004,0.0018,7.4719,0.1002,1.0000,0.0147,0.4669,0.0000,5.0000,0.0708,0.2708,0.0000,10.0000,0.1420,0.1899,0.0000,19.5322,0.2894,0.1177,0.0000,35.8391,0.5266,0.0619,0.0952,24.5761,0.3672,0.0952,0.0952,19.5322,0.2894,0.1177,0.0000,4.7906,0.0678,0.2760,0.0000,11.3688,0.1624,0.1753,0.0000
Gustavia_santanderiensis_3,21,1.8891,2.2922,160,0.9681,10021,52.4423,1.7159,12.4236,23.6063,9.2266,0.5264,0.0590,55.4989,0.0000,0.0000,39.2969,3.5575,1.5303,0.1163,0.7780,1.8891,1.8891,1.1000,1.8452,1.8589,1.8886,0.3711,0.0388,0.0983,0.2702,0.0407,0.0000,0.0044,7.3234,0.0863,1.0000,0.0127,0.4470,0.0000,5.0000,0.0612,0.2539,0.0000,10.0000,0.1287,0.1748,0.0000,16.3778,0.2193,0.1230,0.0000,17.6095,0.2368,0.1158,0.0476,17.6273,0.2368,0.1158,0.1429,16.3778,0.2193,0.1230,0.0000,4.7501,0.0586,0.2601,0.0000,12.4606,0.1654,0.1512,0.0000
Gustavia_santanderiensis_4,21,1.5819,1.9543,180,0.9586,10021,53.6693,0.2030,16.9924,23.9647,3.8952,1.0723,0.2030,53.5266,0.1971,0.0166,36.7230,6.0260,3.4798,0.0310,0.7140,1.5766,1.5819,1.0104,1.5294,1.5416,1.5787,0.3405,0.0809,0.0917,0.2076,0.0445,0.0017,0.0013,7.6304,0.1178,1.0000,0.0164,0.5368,0.0000,5.0000,0.0715,0.3210,0.0000,10.0000,0.1425,0.2261,0.0000,20.5662,0.2934,0.1335,0.0000,22.9025,0.3372,0.1208,0.0476,22.9025,0.3372,0.1208,0.1429,20.5662,0.2934,0.1335,0.0000,5.5264,0.0789,0.3072,0.0000,11.7008,0.1670,0.2055,0.0000
Gustavia_santanderiensis_5,21,1.6284,2.0974,140,0.9549,10021,49.4481,2.2848,21.6290,18.4493,7.7609,0.3436,0.0843,46.8884,0.4338,0.0000,44.3809,6.2952,1.9213,0.0804,0.7904,1.6247,1.6284,1.0564,1.5661,1.5987,1.6253,0.2269,0.0464,0.1949,0.3203,0.0226,0.0000,0.0001,7.5841,0.1129,1.0000,0.0156,0.5329,0.0000,5.0000,0.0703,0.3241,0.0000,10.0000,0.1347,0.2305,0.0000,23.3053,0.3163,0.1209,0.0000,23.3053,0.3163,0.1209,0.0000,23.3053,0.3163,0.1209,0.1905,23.3053,0.3163,0.1209,0.0000,5.3612,0.0755,0.3147,0.0000,12.9133,0.1723,0.1962,0.0000
Gustavia_santanderiensis_6,21,1.8662,2.2363,180,0.9667,10021,54.1871,1.6747,14.6872,24.6815,4.1759,0.5935,0.0000,59.2714,0.0000,0.0000,39.7314,0.6739,0.3233,0.0000,0.7595,1.8662,1.8662,1.1822,1.8516,1.8558,1.8662,0.4113,0.0652,0.1011,0.2444,0.0654,0.0009,0.0010,7.3461,0.0883,1.0000,0.0129,0.4364,0.0000,5.0000,0.0669,0.2472,0.0000,10.0000,0.1339,0.1708,0.0000,15.4211,0.2187,0.1265,0.0000,31.3760,0.4688,0.0648,0.0952,28.6510,0.4266,0.0718,0.0952,28.6510,0.4266,0.0718,0.0476,4.5246,0.0599,0.2585,0.0000,11.6479,0.1593,0.1547,0.0000
Gustavia_santanderiensis_7,21,1.8299,2.2975,240,0.9644,10021,49.1768,4.6059,9.6268,27.3614,7.9109,1.3182,0.0000,53.7109,0.8184,0.0000,43.2760,0.0000,2.1948,0.0000,0.7351,1.8040,1.8262,1.0064,1.8299,1.8033,1.8299,0.3135,0.0198,0.0726,0.3032,0.0484,0.0000,0.0000,7.3825,0.0917,1.0000,0.0132,0.4699,0.0000,5.0000,0.0652,0.2728,0.0000,10.0000,0.1314,0.1904,0.0000,16.9824,0.2281,0.1321,0.0000,25.2246,0.3373,0.0916,0.0476,25.2246,0.3373,0.0916,0.0476,16.9824,0.2281,0.1321,0.0000,4.8317,0.0621,0.2770,0.0000,13.0676,0.1737,0.1604,0.0000
Gustavia_santanderiensis_8,21,1.6473,1.9483,120,0.9543,10021,54.7472,1.7800,10.3366,30.7456,2.1730,0.2176,0.0000,58.5699,0.0000,0.0000,39.6732,0.8328,0.9242,0.0000,0.6211,1.6473,1.6388,0.9299,1.6408,1.6402,1.6473,0.3751,0.0531,0.0426,0.2119,0.0742,0.0012,0.0000,7.5651,0.1103,1.0000,0.0159,0.4840,0.0000,5.0000,0.0764,0.2847,0.0000,10.0000,0.1517,0.2020,0.0000,13.3078,0.2018,0.1688,0.0000,20.7331,0.3174,0.1204,0.0476,20.7529,0.3180,0.1204,0.1429,20.7331,0.3174,0.1204,0.0476,4.8750,0.0741,0.2878,0.0000,10.8571,0.1659,0.1925,0.0000
Gustavia_santanderiensis_9,21,1.6333,2.0070,300,0.9595,10021,49.9256,0.0900,24.6190,19.9559,2.7431,2.4151,0.2514,56.9780,0.1609,0.0328,39.1302,2.1072,1.2730,0.3178,0.6991,1.6294,1.6198,1.1286,1.6196,1.6225,1.6252,0.3580,0.1090,0.0800,0.2145,0.0962,0.0137,0.0007,7.5796,0.1117,1.0000,0.0165,0.4773,0.0000,5.0000,0.0807,0.2861,0.0000,10.0000,0.1525,0.2053,0.0000,17.5790,0.2617,0.1399,0.0000,38.2036,0.5784,0.0624,0.0476,38.2036,0.5784,0.0624,0.0476,38.2036,0.5784,0.0624,0.0476,4.6537,0.0751,0.2945,0.0000,10.8860,0.1659,0.1953,0.0000
Gustavia_santanderiensis (average),21.0000,1.7676,2.1679,186.0000,0.9631,10021.0000,52.1158,1.4198,14.8676,23.7840,6.3253,1.4248,0.0626,54.8377,0.1924,0.0087,40.0215,2.9040,1.9751,0.0606,0.7389,1.7633,1.7639,1.0648,1.7354,1.7387,1.7660,0.3524,0.0659,0.0935,0.2547,0.0632,0.0070,0.0010,7.4449,0.0989,1.0000,0.0143,0.4734,0.0000,5.0000,0.0686,0.2761,0.0000,10.0000,0.1369,0.1931,0.0000,18.2100,0.2563,0.1274,0.0000,27.8253,0.4026,0.0881,0.0619,24.8879,0.3583,0.0967,0.1095,22.3380,0.3203,0.1093,0.0143,4.8800,0.0668,0.2787,0.0000,11.9784,0.1652,0.1730,0.0000
