Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_12 contribution,bio_14 contribution,bio_15 contribution,bio_3 contribution,bio_4 contribution,bio_7 contribution,bio_1 permutation importance,bio_12 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_7 permutation importance,Training gain without bio_1,Training gain without bio_12,Training gain without bio_14,Training gain without bio_15,Training gain without bio_3,Training gain without bio_4,Training gain without bio_7,Training gain with only bio_1,Training gain with only bio_12,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_7,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.9087,2.3601,200,0.9708,10021,41.9478,0.0000,4.9449,51.5724,0.6219,0.9130,0.0000,51.9622,0.0000,0.2228,45.9121,0.9714,0.9315,0.0000,0.6588,1.9087,1.9070,1.0282,1.8840,1.8798,1.9087,0.4317,0.1108,0.1473,0.2600,0.0825,0.0073,0.0018,7.3036,0.0841,1.0000,0.0137,0.4199,0.0000,5.0000,0.0655,0.2428,0.0000,10.0000,0.1298,0.1667,0.0000,15.2927,0.2040,0.1228,0.0000,29.8643,0.4433,0.0634,0.0952,28.1934,0.4187,0.0678,0.0476,28.1934,0.4187,0.0678,0.0476,4.3953,0.0576,0.2570,0.0000,11.9347,0.1579,0.1482,0.0000
Gustavia_santanderiensis_1,21,1.6536,1.9904,140,0.9572,10021,40.1458,0.0000,5.7143,53.7090,0.2334,0.1322,0.0653,51.0085,0.0000,0.0000,48.3001,0.3588,0.3288,0.0038,0.6287,1.6536,1.6536,0.8866,1.6483,1.6488,1.6535,0.3578,0.0759,0.1483,0.2526,0.0580,0.0001,0.0080,7.5588,0.1094,1.0000,0.0170,0.4856,0.0000,5.0000,0.0765,0.2955,0.0000,10.0000,0.1466,0.2110,0.0000,20.9664,0.2965,0.1234,0.0000,21.3936,0.3023,0.1211,0.0952,21.3936,0.3023,0.1211,0.0952,20.9664,0.2965,0.1234,0.0000,4.8252,0.0735,0.2998,0.0000,11.7865,0.1718,0.1913,0.0000
Gustavia_santanderiensis_2,21,2.4810,3.0430,220,0.9841,10021,32.4626,1.5477,23.0052,39.5745,2.8444,0.3319,0.2338,43.0380,0.0000,0.0000,54.9506,1.5512,0.4601,0.0000,1.0747,2.4810,2.4810,1.5188,2.4146,2.4585,2.4803,0.3255,0.0827,0.4615,0.5216,0.0296,0.0031,0.0027,6.7314,0.0466,1.0000,0.0091,0.3306,0.0000,5.0000,0.0426,0.1772,0.0000,10.0000,0.0930,0.1143,0.0000,15.8596,0.1650,0.0772,0.0000,36.5170,0.4780,0.0266,0.0952,16.7937,0.1761,0.0731,0.0952,15.8596,0.1650,0.0772,0.0000,3.8079,0.0329,0.2034,0.0000,14.5759,0.1473,0.0836,0.0000
Gustavia_santanderiensis_3,21,1.6590,2.0406,160,0.9570,10021,39.4265,0.8203,20.3110,38.7578,0.5432,0.1413,0.0000,49.0064,0.0000,0.0000,50.1748,0.6289,0.1899,0.0000,0.5956,1.6590,1.6590,1.0298,1.6480,1.6546,1.6590,0.3211,0.0774,0.2497,0.2857,0.0597,0.0000,0.0004,7.5535,0.1089,1.0000,0.0169,0.4883,0.0000,5.0000,0.0753,0.2995,0.0000,10.0000,0.1442,0.2143,0.0000,22.1245,0.3068,0.1189,0.0000,23.8896,0.3286,0.1102,0.0952,23.8896,0.3286,0.1102,0.0952,22.1245,0.3068,0.1189,0.0000,4.8717,0.0733,0.3027,0.0000,12.1631,0.1737,0.1903,0.0000
Gustavia_santanderiensis_4,21,1.5197,1.7990,120,0.9510,10021,41.9187,0.0000,21.3980,36.1300,0.0602,0.4931,0.0000,52.0470,0.0000,0.0000,47.5384,0.0000,0.4145,0.0000,0.5290,1.5197,1.5197,1.0084,1.5173,1.5121,1.5197,0.3532,0.1238,0.2239,0.2162,0.0762,0.0060,0.0000,7.6927,0.1254,1.0000,0.0195,0.5212,0.0000,5.0000,0.0804,0.3242,0.0000,10.0000,0.1541,0.2341,0.0000,22.1252,0.3260,0.1325,0.0000,22.3243,0.3285,0.1314,0.0952,22.3243,0.3285,0.1314,0.1429,22.1252,0.3260,0.1325,0.0000,5.1743,0.0837,0.3198,0.0000,11.2587,0.1728,0.2187,0.0000
Gustavia_santanderiensis_5,21,1.6766,2.1073,160,0.9633,10021,39.1010,0.7401,23.2890,33.2522,2.4348,1.1817,0.0011,49.0170,0.0000,0.0000,47.0075,2.3604,1.6067,0.0084,0.5661,1.6766,1.6766,1.1291,1.6217,1.6440,1.6766,0.3481,0.0770,0.2623,0.2529,0.0325,0.0000,0.0019,7.5356,0.1064,1.0000,0.0168,0.5000,0.0000,5.0000,0.0711,0.3048,0.0000,10.0000,0.1341,0.2158,0.0000,22.8738,0.3023,0.1121,0.0000,33.5894,0.4747,0.0701,0.0952,26.4926,0.3578,0.0952,0.0952,22.8738,0.3023,0.1121,0.0000,5.0982,0.0720,0.3024,0.0000,12.5130,0.1678,0.1869,0.0000
Gustavia_santanderiensis_6,21,1.8452,2.2842,200,0.9688,10021,43.6218,0.0000,30.3529,23.2824,0.8973,1.8456,0.0000,52.9732,0.0000,0.1225,42.0852,1.6399,3.1792,0.0000,0.6916,1.8452,1.8416,1.4141,1.8038,1.7826,1.8452,0.4516,0.1621,0.3167,0.2176,0.0931,0.0302,0.0011,7.3671,0.0895,1.0000,0.0140,0.4549,0.0000,5.0000,0.0608,0.2601,0.0000,10.0000,0.1251,0.1756,0.0000,16.0639,0.2131,0.1229,0.0000,30.3969,0.4677,0.0648,0.0952,28.8929,0.4413,0.0687,0.0476,28.8929,0.4413,0.0687,0.0476,5.0509,0.0612,0.2589,0.0000,11.6650,0.1509,0.1580,0.0000
Gustavia_santanderiensis_7,21,2.1116,2.5053,200,0.9780,10021,41.6356,0.0000,8.7130,47.9170,0.6200,1.0624,0.0519,53.1676,0.0000,0.1431,45.2032,0.4172,1.0544,0.0146,0.7245,2.1116,2.1091,1.1933,2.0899,2.0801,2.1105,0.4775,0.1352,0.1821,0.2779,0.1191,0.0229,0.0003,7.1008,0.0686,1.0000,0.0119,0.3649,0.0000,5.0000,0.0597,0.2021,0.0000,10.0000,0.1243,0.1351,0.0000,29.1385,0.4309,0.0532,0.0000,34.5128,0.5187,0.0432,0.0476,31.9938,0.4799,0.0476,0.0476,29.1385,0.4309,0.0532,0.0000,4.0193,0.0472,0.2238,0.0000,11.7270,0.1524,0.1209,0.0000
Gustavia_santanderiensis_8,21,1.6991,2.1809,180,0.9675,10021,39.6608,0.0000,9.6075,46.4610,3.6405,0.6170,0.0132,47.3863,0.0000,0.4717,48.0814,2.6949,1.3599,0.0058,0.5965,1.6991,1.6913,0.9179,1.6297,1.6630,1.6989,0.3452,0.0699,0.1704,0.2535,0.0146,0.0000,0.0046,7.5133,0.1040,1.0000,0.0165,0.4841,0.0000,5.0000,0.0723,0.2943,0.0000,10.0000,0.1383,0.2094,0.0000,24.8431,0.3360,0.1006,0.0000,32.3459,0.4478,0.0728,0.0952,31.9602,0.4407,0.0741,0.0952,24.8431,0.3360,0.1006,0.0000,4.8702,0.0705,0.2976,0.0000,12.4041,0.1682,0.1828,0.0000
Gustavia_santanderiensis_9,21,1.7857,2.1069,160,0.9620,10021,41.8552,1.6737,16.4987,39.6396,0.1593,0.1734,0.0000,51.9867,0.0629,0.0000,47.4716,0.4506,0.0282,0.0000,0.5780,1.7853,1.7857,1.0943,1.7818,1.7825,1.7857,0.3898,0.0704,0.2072,0.2654,0.0600,0.0000,0.0021,7.4266,0.0957,1.0000,0.0154,0.4511,0.0000,5.0000,0.0700,0.2671,0.0000,10.0000,0.1387,0.1882,0.0000,16.7355,0.2304,0.1317,0.0000,18.8859,0.2594,0.1189,0.0476,18.8859,0.2594,0.1189,0.1429,16.7355,0.2304,0.1317,0.0000,4.5748,0.0648,0.2773,0.0000,12.0241,0.1667,0.1676,0.0000
